Type,carbon_isotopes,silicon_29_28,silicon_30_28
M,56.49,32,25
M,56.49,6,33
M,56.49,5,36
M,56.49,43,12
M,56.5,-54,-7
M,56.5,120,115
Z,56.5,-49.3,179.8
M,56.50,33,16
M,56.5,20.8,66.1
M,56.52,-7,30
M,56.52,-12,-10
M,56.52,31,22
M,56.53,59,34
M,56.53,64,92
M,56.54,91,100
M,56.54,40,9
M,56.54,38,62
M,56.55,8,68
M,56.55,40,68
M,56.56,26,43
M,56.56,58,59
M,56.56,93,82
M,56.6,57.9,53.4
M,56.57,39,54
M,56.58,87.14,80.55
M,56.58,6,23
M,56.59,36,63
M,56.59,21,27
M,56.6,35.2,56.2
M,56.59,65,52
M,56.61,33,37
M,56.61,36,28
M,56.61,44,28
M,56.61,-15,-3
M,56.61,-8,27
M,56.62,23,28
M,56.62,22,105
M,56.63,7,10
Z,56.63,-80,-23
M,56.63,45,54
M,56.63,45,58
M,56.63,51,71
M,56.63,76,50
M,56.65,9,22
M,56.65,19,37
M,56.65,16,33
M,56.65,73,44
M,56.7,26.1,50.2
M,56.66,37,23
M,56.66,14,31
M,56.66,14,39
M,56.66,30,65
M,56.67,21,16
M,56.67,2,43
M,56.67,108,77
M,56.68,57,80
M,56.68,38,35
M,56.68,30,51
M,56.69,63,57
M,56.69,26,43
M,56.69,77,71
M,56.69,56,63
M,56.69,20,25
M,56.69,40,42
M,56.69,14,71
M,56.70,57,40
M,56.70,82,87
M,56.70,26,35
M,56.7,7,59
M,56.7,57,63
Z,56.7,-69,159
M,56.7,30.0,46.5
M,56.71,12,7
M,56.7,24.8,4.1
M,56.72,50,62
M,56.73,10,38
M,56.73,69,74
M,56.73,-45,3
M,56.73,72,66
M,56.74,35,40
M,56.74,101,93
M,56.74,23,65
M,56.74,35,63
M,56.75,76,96
M,56.75,84,73
M,56.75,30,22
M,56.76,82,92
M,56.76,-47,-28
M,56.76,10,12
M,56.76,42,27
M,56.76,66,60
M,56.76,18,2
M,56.76,35,15
M,56.77,55,74
M,56.78,64,65
M,56.79,16,33
M,56.79,32,34
M,56.80,-15,2
M,56.80,12,27
M,56.80,-22,3
M,56.8,-11,13
Z,56.8,-93,60
M,56.80,25,46
M,56.81,27,42
M,56.81,94,2
M,56.81,12,14
M,56.81,49,56
M,56.82,65,74
M,56.82,115,101
M,56.82,27,34
M,56.82,-3,5
M,56.83,30,17
M,56.83,70,45
M,56.83,20,19
M,56.83,46,40
Z,56.83,-78,121
Z,56.8,-131.3,177.1
M,56.83,35,50
M,56.83,49,38
M,56.84,32,11
M,56.84,-13,73
M,56.84,32,34
M,56.84,-4,6
M,56.84,31,61
M,56.86,85,102
M,56.86,29,66
M,56.87,36,48
M,56.87,5,17
M,56.87,151,115
M,56.87,25,12
M,56.88,46,92
M,56.88,21,24
M,56.89,77,64
M,56.9,38.0,70.6
M,56.89,128,121
Z,56.90,-100,-41
M,56.90,7,11
M,56.90,16,26
X,56.90,-404,-464
M,56.9,38,34
M,56.90,86.0,71.9
M,56.9,101,113
M,56.9,106,114
M,56.90,28,22
M,56.91,118,102
M,56.91,39,86
Z,56.91,-11,131
M,56.92,81,109
X,56.92,-168,-142
M,56.92,128,99
M,56.93,49,40
M,56.93,28,35
M,56.93,67,18
M,56.94,56,65
M,56.94,39,35
M,56.94,121,76
M,56.94,9,-39
M,56.94,87,78
M,56.94,54,35
M,56.95,163,34
M,56.95,52,67
M,56.95,34,64
M,56.96,53,30
M,56.96,64,27
M,56.96,57,5
M,56.96,14,13
Z,56.96,-57,44
M,56.97,79,33
M,56.97,40,69
M,56.97,48,31
M,56.97,66,87
M,57.0,124.6,100.4
M,56.98,23,13
M,56.98,85,81
M,56.99,47,31
M,57.00,93,83
M,57.00,32,17
M,57.00,28,49
Z,57,-106,12
M,57.00,73,58
M,57.00,15,19
M,57.01,68,55
M,57.01,58,62
M,57.02,43,51
M,57.02,9,27
M,57.02,48,38
M,57.02,46,22
M,57.02,29,39
M,57.03,24,-30
M,57.03,48,36
M,57.04,64,43
M,57.06,74,55
M,57.06,37,23
M,57.07,38,39
M,57.07,3,22
M,57.08,76,67
M,57.08,98,35
Z,57.08,-93,48
M,57.08,52,57
M,57.08,55,73
M,57.08,13,-8
M,57.09,-60,-100
M,57.10,17,7
M,57.10,80,68
M,57.10,31,-6
M,57.1,26,46
M,57.1,42,77
M,57.10,-67,-31
Z,57.10,-135,67
M,57.10,35,93
M,57.10,6,5
M,57.11,-23,2
M,57.11,17,-1
M,57.11,67,23
M,57.11,56,34
M,57.12,7,30
M,57.12,24,35
M,57.13,64,55
M,57.13,50,42
M,57.1,42.3,37.7
M,57.13,5,28
M,57.14,17,31
M,57.14,43,42
M,57.14,87,77
M,57.15,-37,-82
M,57.15,76,77
M,57.15,22,63
M,57.2,60.1,48.4
M,57.17,57,62
M,57.17,40,-24
Z,57.17,-79,35
M,57.18,16,48
Z,57.18,-21,47
M,57.18,92,87
M,57.20,68,96
M,57.20,85,62
M,57.20,30,10
M,57.20,170.6,143.3
M,57.20,49,61
M,57.20,-11,-6
M,57.20,15,15
M,57.20,70,64
M,57.20,100,91
M,57.20,84,101
M,57.20,14,24
M,57.21,18,34
M,57.21,40,43
M,57.22,71,73
M,57.24,73,84
M,57.24,49,26
M,57.25,26,18
M,57.25,66,58
M,57.25,48,65
M,57.25,-7,-14
M,57.25,58,61
M,57.26,80,85
M,57.3,77.9,82.5
M,57.26,74,71
M,57.27,-16,22
M,57.27,-1,39
M,57.27,88,76
M,57.27,45,30
M,57.3,81.1,34.3
M,57.28,35,6
M,57.29,-1,3
M,57.3,-18,24
Z,57.3,-10,31
M,57.30,14.2,33.1
M,57.3,116.9,75.9
M,57.31,-6,9
M,57.31,7,10
M,57.31,20,41
M,57.31,52,46
M,57.31,87,61
M,57.31,-22,20
M,57.31,-4,50
M,57.31,17,24
M,57.31,4,72
M,57.31,81,71
M,57.32,-37,-13
M,57.32,72,69
M,57.3,34.8,54.2
M,57.34,55,50
M,57.36,30,25
M,57.36,107,90
M,57.37,75.9,53.9
M,57.37,-35,12
M,57.37,68,54
M,57.38,80,91
Z,57.38,22,70
M,57.38,12,20
M,57.39,-15,21
M,57.39,46,38
M,57.39,86,75
M,57.39,40,46
M,57.40,61,104
M,57.40,83,86
M,57.41,45,84
M,57.41,72,51
M,57.41,48,29
M,57.41,85,82
M,57.41,-2,51
M,57.43,62,62
M,57.43,59,41
M,57.44,57,53
M,57.44,68,55
M,57.44,-20,2
M,57.44,29,17
Z,57.44,-36,41
M,57.44,33,59
M,57.45,150,122
M,57.46,64,77
M,57.47,23.51,34.35
M,57.5,9.7,56.8
M,57.48,-17,16
M,57.48,55,45
M,57.48,74,55
M,57.48,67,47
M,57.48,-18,60
M,57.49,91,52
Z,57.49,18,131
Z,57.5,-71.5,17.4
M,57.5,-22,21
M,57.5,6,30
M,57.5,50,35
M,57.5,142,151
M,57.50,88,76
M,57.51,43,45
M,57.5,69.8,65.4
M,57.5,98.6,73.5
M,57.51,35,35
Z,57.51,-132,47
M,57.51,38,39
M,57.52,70,85
M,57.52,7,27
M,57.53,87,65
M,57.53,14,33
M,57.54,22,67
M,57.54,92,66
M,57.55,49,7
M,57.55,43,20
M,57.55,59,39
M,57.55,93,76
X,57.55,-148,-228
M,57.55,96,148
Z,57.55,-56,61
M,57.56,-3,51
M,57.56,25,31
M,57.57,99,62
M,57.58,25,85
M,57.58,27,-11
M,57.58,1,10
M,57.58,12,29
M,57.59,72,67
M,57.60,66,101
M,57.6,41,37
M,57.6,65,57
M,57.6,62,66
M,57.6,111,152
M,57.60,92,85
M,57.61,20,24
M,57.61,30,63
M,57.61,27,21
M,57.62,23,7
M,57.62,6,28
M,57.62,112,75
M,57.62,61,73
M,57.62,81,74
M,57.63,71,50
M,57.64,55,46
M,57.6,63.6,44.9
M,57.64,-28,-1
M,57.64,91,96
M,57.6,113.6,21.5
M,57.65,22,28
M,57.65,101,71
M,57.65,-8,16
M,57.66,-5,17
M,57.66,109,93
M,57.66,64,61
U,57.67,40,6
M,57.67,51,68
M,57.7,128.0,134.0
M,57.68,36,38
M,57.68,-66,-101
M,57.68,23,61
M,57.69,12,12
M,57.69,39,35
M,57.69,13,56
M,57.70,59,72
M,57.7,-11,-14
M,57.7,21.1,4.9
M,57.7,3,36
M,57.7,73,56
M,57.71,12,17
M,57.72,-24,-60
M,57.73,40,85
M,57.74,3,17
M,57.7,56.7,29.2
M,57.7,51.7,48.8
M,57.74,-20,-29
M,57.75,38,53
M,57.75,-22,-19
M,57.75,28,22
M,57.75,81,83
M,57.75,100,87
M,57.76,58,70
M,57.76,50,9
M,57.76,0,49
M,57.76,0,-5
M,57.76,13,16
M,57.78,46,59
M,57.79,-21,18
M,57.79,68,87
M,57.8,36.2,45.8
M,57.80,72,72
M,57.8,-3,-5
M,57.80,-16,5
M,57.80,69,59
M,57.81,65,35
M,57.81,46,43
Z,57.82,-26,34
M,57.82,-43,-13
M,57.82,37,37
M,57.82,48,49
M,57.82,89,50
M,57.83,44,25
M,57.84,26,36
M,57.84,30,51
M,57.84,37,31
M,57.84,31,52
M,57.84,129,122
M,57.85,31,33
M,57.86,9,-1
M,57.86,16,57
M,57.86,1,-49
M,57.86,9,52
M,57.9,2.8,19.9
M,57.87,100,71
M,57.87,38,40
M,57.88,59,55
M,57.88,27,32
M,57.88,31,49
M,57.89,42,49
M,57.89,78,41
M,57.89,-7,1
M,57.89,72,62
M,57.89,13,25
M,57.89,16,15
M,57.89,44,34
M,57.90,32,50
M,57.9,86,4
Z,57.9,-23,28
Z,57.9,-12,32
M,57.90,34,56
M,57.90,3,9
M,57.91,106,75
Z,57.91,-25,52
M,57.91,11,16
M,57.91,38,121
M,57.92,12,41
M,57.92,85,20
M,57.92,9,11
M,57.93,51,42
M,57.93,2,-29
M,57.93,52,37
M,57.94,42,30
M,57.94,-34,52
M,57.95,72,69
M,57.96,5,26
M,57.96,8,31
M,57.97,65,51
M,57.97,6,42
M,57.97,42,42
M,58.0,71.5,108.3
M,57.98,20,33
M,57.99,77,84
M,57.99,56,54
M,57.99,93,35
M,57.99,17,26
M,57.99,37,32
M,58.0,32.3,28.9
M,58,27,16
M,58.0,27.0,38.7
M,58.00,49,39
M,58.0,12,42
M,58,41,49
M,58.00,77,72
M,58,81,86
M,58.00,21,23
M,58.01,-16,21
M,58.01,65,77
M,58.02,35,44
M,58.04,28,31
M,58.04,58,46
M,58.04,43,36
M,58.04,60,86
M,58.05,-2,27
M,58.05,48,40
M,58.05,62,57
M,58.06,47,65
M,58.06,32,19
M,58.06,22,60
M,58.1,73.6,85.7
M,58.07,-2,42
M,58.07,86,79
M,58.07,12,26
M,58.07,66,52
M,58.09,29,43
M,58.09,43,49
M,58.09,27,53
M,58.09,77,59
M,58.09,-48,6
M,58.09,-1,67
M,58.10,97,87
M,58.1,33,40
M,58.1,80,89
M,58.10,54,56
M,58.10,-3,-6
M,58.11,93,66
M,58.1,86.4,65.2
M,58.11,65,60
M,58.11,51,58
M,58.12,58,51
M,58.13,49,53
M,58.14,16,26
M,58.14,23,45
M,58.14,112,38
M,58.14,9,15
M,58.15,77,61
M,58.15,27,20
M,58.16,17,26
M,58.17,29,53
M,58.17,47,62
M,58.17,-15,-6
M,58.18,17,20
M,58.18,31,28
M,58.18,47,52
M,58.18,53,71
M,58.18,78,73
M,58.18,72,73
M,58.18,48,41
M,58.2,71.3,14.1
M,58.19,5,35
M,58.19,54,66
M,58.19,67,65
M,58.21,6,31
M,58.21,64,42
M,58.21,47,43
M,58.21,50,54
M,58.21,37,54
M,58.21,48,56
M,58.21,123,100
M,58.21,92,60
M,58.22,-6,14
M,58.22,-19,0
Z,58.22,-48,67
M,58.23,36,54
M,58.23,61,71
M,58.24,100,84
M,58.24,-15,-47
M,58.2,77.9,37.4
M,58.24,6,27
M,58.25,27,56
M,58.26,71,109
M,58.26,100,65
M,58.26,60,34
M,58.26,-12,48
M,58.26,58,65
M,58.26,75,64
M,58.27,50,60
M,58.27,15,48
M,58.28,75,75
M,58.28,18,23
M,58.28,67,64
M,58.28,55,50
M,58.28,33,59
M,58.28,67,73
M,58.3,-25,23
M,58.3,59,35
M,58.3,21,63
M,58.30,55,53
M,58.30,42,51
M,58.30,37.80,31.40
M,58.31,25,5
M,58.31,58.1,32.3
M,58.31,19,19
M,58.31,39,40
M,58.32,31,29
M,58.32,58,105
M,58.32,98,93
Z,58.32,-130,131
M,58.32,22,52
M,58.34,10,21
M,58.34,113,85
M,58.35,82,63
M,58.35,91,90
M,58.35,30,61
M,58.35,24,15
M,58.35,19,-11
M,58.36,56,20
M,58.37,111,75
M,58.37,5,58
M,58.37,45,36
M,58.38,56,82
M,58.39,45,31
M,58.39,26,-15
M,58.39,58,39
M,58.39,91,14
M,58.4,14.3,28.2
M,58.39,24,60
M,58.39,8,57
M,58.40,113,103
M,58.4,8,-12
M,58.40,52,46
Z,58.40,-76,104
M,58.40,57,71
M,58.42,41,39
M,58.4,101.3,101.6
M,58.42,99,115
M,58.42,29,17
M,58.43,60,56
M,58.43,43,27
M,58.45,37,28
M,58.45,45,66
M,58.45,41,38
M,58.45,42,26
M,58.45,-2,37
M,58.45,-13,6
M,58.45,89,67
M,58.45,24,24
M,58.46,23,25
M,58.47,20,42
M,58.47,-11,8
M,58.47,106,98
M,58.48,17,41
M,58.48,44,71
M,58.48,81,68
M,58.48,16,14
M,58.48,32,35
M,58.49,37,29
M,58.50,85,80
M,58.5,12,22
M,58.51,52,84
M,58.51,2,6
M,58.51,91,76
M,58.5,117.2,120.7
M,58.51,98,49
M,58.51,71,78
M,58.52,37,26
M,58.52,42,58
M,58.53,22,20
Z,58.53,-82,15
M,58.53,6,28
M,58.54,57,76
M,58.54,88,74
Z,58.54,-7,71
M,58.54,1,19
M,58.55,62,45
M,58.55,0,27
M,58.56,38,29
M,58.56,64,117
Z,58.57,-43,51
M,58.57,66,44
M,58.57,15,-22
M,58.6,67.7,60.0
M,58.57,50,85
M,58.57,31,22
M,58.57,88,51
M,58.58,70,41
Z,58.59,-37,17
M,58.59,10,42
M,58.6,33.6,40.4
U,58.59,253,244
M,58.60,-1,52
M,58.60,56,59
M,58.6,105,75
M,58.60,-8,-33
M,58.60,43,56
M,58.61,-7,-7
M,58.61,69,70
M,58.61,24,3
M,58.61,130,101
M,58.63,34,29
M,58.63,-5,17
M,58.63,-74,-31
M,58.64,9,-12
M,58.64,31,25
M,58.64,52,-11
M,58.64,-29,-4
M,58.64,69.81,77.31
M,58.65,33,39
M,58.65,71,43
M,58.65,113,55
M,58.66,39,36
M,58.66,13,28
M,58.7,23.5,79.7
M,58.66,55,137
M,58.67,43,51
M,58.68,78,12
M,58.68,68,51
M,58.68,58,54
M,58.68,97,68
M,58.69,17,39
M,58.69,19,76
M,58.69,40,43
M,58.69,-27,40
M,58.69,61,81
M,58.70,52,68
M,58.70,77,69
M,58.7,28.2,23.0
M,58.7,74.7,67.3
M,58.70,7,21
M,58.71,-3,78
M,58.71,90,39
M,58.71,48,54
M,58.71,-40,-67
M,58.71,-50,-10
M,58.71,-19,1
M,58.71,38,55
M,58.72,66,63
M,58.72,50,40
M,58.73,65,29
M,58.74,10,16
M,58.75,26,17
M,58.75,2,3
M,58.75,50,0
M,58.75,54,41
M,58.76,-42,3
M,58.76,90,68
M,58.76,82.95,87.90
M,58.77,36,32
M,58.77,18,19
M,58.78,5,-33
M,58.78,30,40
M,58.78,3,56
M,58.78,40,57
M,58.78,7,35
M,58.78,90,91
M,58.79,102.39,87.02
M,58.79,58,15
M,58.80,112,77
C,58.80,996,1010
M,58.8,25,35
M,58.81,108,87
M,58.81,14,38
M,58.8,84.5,82.3
M,58.82,10,9
M,58.82,54,59
M,58.8,15.0,43.3
M,58.83,52,34
M,58.84,11,19
M,58.84,40,103
M,58.84,-15,16
M,58.85,46,38
M,58.85,55,59
M,58.86,36,37
M,58.86,54,55
M,58.86,37,37
M,58.86,68,61
M,58.87,120,101
M,58.87,55,38
M,58.88,24,1
M,58.88,57,-5
M,58.89,34,23
M,58.89,72,62
M,58.89,70,86
M,58.90,36,36
M,58.9,104.7,131.8
M,58.9,73,69
M,58.9,32.1,86.4
M,58.91,28,46
M,58.92,27,59
M,58.92,8,17
M,58.92,19,33
M,58.92,35,51
M,58.92,30,33
M,58.93,42,42
X,58.93,-494,-566
M,58.93,-21,-70
M,58.93,16,18
M,58.93,33,39
M,58.93,55,68
M,58.94,44,47
M,58.95,39,30
M,58.95,46,41
M,58.95,26,16
M,58.95,65,23
M,58.96,105,53
M,58.96,49,47
Z,58.96,-155,126
M,58.96,34,41
M,58.97,27,48
M,58.97,67,61
M,59.0,92.3,93.8
M,58.99,50,28
M,59,38,75
Z,59,-133,78
M,59.00,33,47
M,59.00,59,71
M,59.00,69,66
M,59.01,42,42
M,59.01,72,53
M,59.01,39,29
M,59.02,44,55
M,59.02,26,64
M,59.02,92,71
M,59.02,9,45
M,59.04,-4,-4
M,59.04,20,-2
M,59.04,35,0
M,59.05,74,36
M,59.06,34,49
M,59.06,43,29
Z,59.07,-39,66
M,59.07,100,84
M,59.07,39,85
M,59.08,33,22
M,59.08,33,26
M,59.08,25,39
M,59.08,19,54
M,59.08,120,104
M,59.1,51,11
M,59.1,89,92
M,59.11,19,16
M,59.11,52,48
M,59.11,64,72
M,59.12,47.90,54.95
U,59.12,70,117
M,59.12,30,25
M,59.12,50,43
M,59.12,55,58
M,59.12,91,68
Z,59.12,-74,66
M,59.1,128.6,96.0
M,59.15,71,63
M,59.15,77,78
M,59.15,112,98
Z,59.15,-20,106
M,59.15,45,-17
M,59.17,18,25
M,59.18,59,51
M,59.18,84,84
M,59.18,-38,-1
M,59.18,47,34
M,59.18,-11,-22
M,59.18,72,82
M,59.19,-3,-1
M,59.19,14,18
M,59.19,42,36
M,59.20,144,118
M,59.2,9,47
M,59.20,41,46
M,59.21,44,33
M,59.22,0,34
M,59.22,84,67
M,59.22,66,72
M,59.22,88,91
M,59.24,39,16
M,59.25,51,22
M,59.25,23,60
M,59.25,80,60
M,59.25,106,78
M,59.25,39,68
M,59.26,30,38
M,59.26,67,68
M,59.26,86,72
M,59.27,59,73
M,59.3,46.9,43.8
M,59.27,15,23
Z,59.28,-109,64
M,59.28,21,27
M,59.28,83,76
M,59.28,58,53
M,59.28,-10,-11
M,59.29,31,46
M,59.29,42,30
M,59.29,23,50
M,59.29,28,11
M,59.29,-11,30
M,59.29,37,50
M,59.29,47,56
M,59.29,69,68
M,59.3,-75,-61
M,59.3,-28,-14
M,59.3,31,53
M,59.30,76.6,68.3
M,59.30,-10,26
M,59.31,26,39
M,59.31,50,59
M,59.32,-26,2
M,59.32,-28,-48
M,59.33,-6,29
M,59.33,-33,19
M,59.33,61,46
M,59.34,60,110
M,59.35,60,30
M,59.35,37,39
M,59.36,62,12
M,59.37,-34,-17
M,59.37,-16,12
M,59.37,59,62
M,59.37,56,51
M,59.37,78,72
M,59.4,56.5,55.6
M,59.4,64.5,48.7
M,59.4,0.8,54.9
M,59.38,-10,25
M,59.38,33,37
M,59.38,58,45
M,59.40,35,105
M,59.4,20,34
Z,59.4,-64,63
M,59.40,75,86
M,59.41,8,54
M,59.41,80,56
Z,59.41,-172,93
M,59.41,-2,1
M,59.42,32,51
M,59.42,75,53
M,59.43,55,33
M,59.44,37,41
M,59.44,16,35
M,59.44,-20,39
M,59.44,19,23
M,59.44,10,21
M,59.45,15,1
M,59.45,15,66
M,59.45,39,30
M,59.45,87,31
M,59.46,-11,44
Z,59.46,9,52
M,59.46,49,66
M,59.47,13,-2
M,59.47,80,52
M,59.47,128,109
Z,59.47,-28,80
M,59.47,-8,-1
M,59.47,10,16
M,59.48,102,71
M,59.48,-45,20
M,59.5,51.9,66.0
M,59.49,86,85
M,59.50,27,33
M,59.51,24,31
M,59.51,74,64
M,59.5,68.9,59.5
M,59.52,27,47
M,59.53,87,81
M,59.53,33,34
M,59.53,37,6
M,59.53,-5,67
M,59.54,14,12
M,59.55,15,-3
M,59.55,-214,-79
M,59.55,-30,-4
Z,59.55,-68,9
Z,59.55,-96,98
M,59.56,17,28
M,59.56,78,61
M,59.58,6,65
M,59.58,51,81
M,59.58,57,41
M,59.58,24,49
Z,59.59,-62,-3
M,59.59,79,82
M,59.59,29,42
M,59.59,28,46
M,59.6,36.3,32.8
M,59.6,63,44
M,59.6,80,126
M,59.6,134,138
M,59.60,46,40
M,59.61,24,-9
M,59.61,61,11
M,59.61,-13,28
M,59.63,4,16
M,59.63,1,38
M,59.63,98,80
M,59.63,36,41
M,59.63,-11,0
M,59.6,60.5,47.7
M,59.65,42,45
M,59.66,65,55
M,59.66,48,42
M,59.66,47,63
M,59.66,-2,23
M,59.67,7,26
M,59.67,74,79
M,59.67,-3,17
M,59.67,25,93
M,59.67,47,54
M,59.67,65,76
M,59.67,12,30
M,59.68,212,209
M,59.68,65,74
M,59.68,-17,-6
M,59.68,0,4
M,59.7,42.9,68.0
M,59.69,50,57
M,59.70,28,42
M,59.70,20,127
M,59.7,0,13
M,59.7,9,49
M,59.70,36,35
M,59.72,67,44
M,59.72,52,50
M,59.73,-15,52
M,59.73,28,-20
M,59.73,14,40
M,59.73,75,67
M,59.73,47,47
M,59.73,104,85
M,59.74,41,28
Z,59.74,-89,1
M,59.74,64,40
M,59.74,94,78
M,59.74,76,56
M,59.74,51,45
M,59.75,64,60
M,59.75,92,84
M,59.75,54,33
M,59.75,55,66
M,59.75,25,32
M,59.76,24,53
M,59.76,17,-1
M,59.8,92.9,47.3
M,59.77,49,36
M,59.78,38,35
M,59.78,1,13
M,59.78,27,45
M,59.78,-32,18
M,59.78,60,59
M,59.79,-12,-15
M,59.8,24,41
M,59.8,60.8,72.5
M,59.8,108,113
M,59.80,19,28
M,59.81,38,-2
M,59.81,35,66
M,59.81,47,25
M,59.81,71,65
M,59.81,66,63
M,59.82,29,36
M,59.82,-32,55
M,59.83,62,54
M,59.85,79,67
M,59.85,115,90
M,59.86,69,48
M,59.87,46,43
M,59.87,20,31
M,59.87,133,118
M,59.89,24,37
M,59.89,-90,-109
M,59.90,25,57
M,59.9,7,52
M,59.9,52,75
M,59.9,75,99
M,59.9,107,147
M,59.91,74,81
M,59.91,60,98
M,59.91,94,74
M,59.92,3,9
M,59.92,33,23
M,59.92,43,59
M,59.92,48,27
M,59.92,40,24
M,59.92,57,43
M,59.92,34,71
M,59.93,2,1
M,59.94,12,28
M,59.94,16,46
M,59.94,42,108
M,59.95,16,40
M,59.95,24,22
M,59.96,58,58
M,59.96,70,57
M,59.96,116,98
M,59.96,60,12
M,59.96,-4,17
Z,59.97,-23,114
M,59.97,69,70
M,59.98,19,12
M,59.98,69,53
M,59.98,10,19
M,59.98,51,75
M,59.99,-8,-13
M,59.99,10,-21
M,59.99,77,54
M,59.99,34,57
M,60.0,17,13
M,60.0,60,29
M,60.00,30,42
Z,60,-4,47
M,60,98,56
M,60.00,73.4,71.0
M,60,55,91
M,60,75,105
X,60.00,-56,-100
M,60.01,-14,6
M,60.02,37,42
M,60.02,35,18
M,60.04,16,41
M,60.04,50,102
M,60.08,33,45
M,60.08,33,57
M,60.08,104,59
M,60.08,33,33
M,60.08,43,53
M,60.08,46,53
M,60.1,42,31
M,60.1,20,38
M,60.10,56,54
M,60.10,39,34
M,60.11,44,63
M,60.11,60,24
M,60.11,63,31
Z,60.11,-39,44
M,60.11,50,58
M,60.11,34,68
M,60.12,56,52
M,60.13,68,35
M,60.13,-24,9
M,60.14,-33,72
M,60.1,71.3,72.1
M,60.15,37,47
M,60.15,34,56
M,60.15,51,25
M,60.15,40,38
M,60.16,47,48
M,60.16,47,63
M,60.16,41,65
M,60.17,14,34
M,60.17,50,36
M,60.18,31,59
M,60.19,-7,-14
M,60.19,12,20
M,60.19,77,53
M,60.19,-38,15
M,60.19,28,41
M,60.2,17,1
M,60.2,-7,15
M,60.20,50.8,51.5
M,60.2,76,61
M,60.2,91,84
M,60.20,101,100
M,60.20,60,70
M,60.21,-45,26
M,60.21,104,64
M,60.22,-27,-9
M,60.22,17,24
M,60.22,99,92
M,60.23,-70,-116
M,60.23,-13,22
M,60.2,122.3,76.8
Z,60.24,-44,47
M,60.25,44,55
M,60.3,73.8,82.9
M,60.26,11,23
M,60.26,-32,14
M,60.26,-8,18
M,60.26,59,49
M,60.27,51,73
M,60.27,30,33
M,60.27,55,47
M,60.28,71,111
M,60.28,31,46
M,60.28,51,69
M,60.28,8,20
M,60.3,64.1,63.1
M,60.29,14,7
M,60.29,26,28
M,60.30,38,63
M,60.30,-9,3
M,60.3,11,10
M,60.3,41,41
M,60.3,44,44
M,60.3,80,49
M,60.3,76,77
M,60.3,132,158
M,60.30,7,35
M,60.30,-21,-14
M,60.30,3,5
M,60.30,77,36
M,60.30,84,73
M,60.31,25,39
M,60.31,15,29
M,60.32,-10,-13
M,60.32,71,91
M,60.32,72,74
Z,60.32,-28,76
M,60.32,-19,-22
M,60.3,55.2,50.9
M,60.33,32,48
M,60.33,49,57
M,60.34,69,50
M,60.34,19,-100
M,60.34,48,-24
M,60.34,9,-17
M,60.34,21,19
M,60.34,55,61
M,60.35,33,65
M,60.35,55,77
M,60.36,47,37
M,60.36,8,27
M,60.37,-36,-3
M,60.37,36,5
M,60.38,25,45
M,60.38,59,54
M,60.38,22,20
M,60.40,122,73
M,60.4,-16,-6
M,60.41,60,44
M,60.41,69,81
M,60.42,-13,1
M,60.42,23,34
M,60.43,57,79
M,60.43,62,75
M,60.43,51,51
M,60.4,52.8,46.9
M,60.44,77,42
M,60.44,10,13
M,60.45,50.37,55.83
M,60.45,57,52
M,60.5,75.0,64.6
M,60.5,25.4,45.4
M,60.5,70.2,51.3
M,60.5,36,26
M,60.5,42,68
M,60.50,-19,-3
M,60.51,39,16
M,60.52,57,50
M,60.53,37,53
M,60.53,12,-8
M,60.53,45,55
M,60.5,31.3,53.0
M,60.54,5,16
M,60.54,20,35
M,60.54,46,35
M,60.56,76,95
M,60.56,-16,-5
M,60.6,117.8,102.9
M,60.57,49,40
M,60.57,56,68
M,60.57,-12,22
M,60.57,42,57
M,60.58,70,70
M,60.59,62,53
M,60.59,28,45
M,60.59,41,42
M,60.59,55,43
M,60.60,29,17
M,60.60,24,13
M,60.6,-50,5
M,60.6,113,91
M,60.61,23,36
M,60.61,27,43
M,60.62,52,67
M,60.62,45.61,33.17
M,60.63,31,54
M,60.63,8,21
M,60.63,36,40
M,60.63,3,31
M,60.63,-2,26
M,60.63,75,66
M,60.64,50,59
M,60.65,6,11
M,60.65,67,47
Z,60.65,-118,84
M,60.6,27.4,19.0
M,60.65,63,62
M,60.66,4,23
M,60.66,20,61
M,60.66,43,75
M,60.67,55,54
M,60.68,-17,16
M,60.68,49.04,47.29
M,60.68,13,13
M,60.68,20,-8
M,60.68,16,3
M,60.69,20,35
M,60.69,82,42
M,60.69,51,56
M,60.7,-5,5
M,60.7,47,64
Z,60.7,-136,196
M,60.70,28,48
M,60.70,-10,11
M,60.71,46,60
M,60.71,17,58
M,60.71,18,26
M,60.7,44.0,45.8
M,60.72,72,37
M,60.72,31,10
M,60.72,2,20
M,60.74,24,59
M,60.74,14,16
M,60.74,35,29
M,60.75,81,53
M,60.75,16,-80
M,60.76,59,50
M,60.76,59,70
M,60.76,17,-9
M,60.76,37,52
M,60.76,79,74
M,60.76,43,51
M,60.77,53,63
M,60.78,15,10
M,60.78,68,52
M,60.78,33,19
M,60.80,14,29
M,60.81,17,48
M,60.81,45,50
M,60.81,44,48
M,60.81,24,74
M,60.81,12,35
M,60.82,-7,36
M,60.83,53.99,47.00
M,60.83,44,50
M,60.83,23,25
M,60.84,53,58
M,60.84,48,40
M,60.84,61,47
M,60.84,48,116
M,60.84,-6,-7
M,60.84,57,65
M,60.84,16,64
