Type,carbon_isotopes,silicon_29_28,silicon_30_28
AB,7.89,-25,29
AB,7.90,9,6
AB,7.92,38,49
AB,7.93,30,48
AB,7.967,24,48
AB,7.97,3,-18
AB,8,8,9
AB,8.00,85,82
AB,8.01,69,72
AB,8.008,7,-1
Z,8.04,12,127
AB,8.1,-39.1,-64.3
AB,8.068,19,81
AB,8.08,-2,13
AB,8.12,40,40
AB,8.13,1,-14
AB,8.15,66,14
AB,8.2,-68.4,73.5
AB,8.16,20,13
AB,8.17,57,70
AB,8.21,56,62
AB,8.22,60,57
AB,8.22,1,14
AB,8.2,73.2,64.8
AB,8.25,36,46
AB,8.26,93,88
AB,8.26,-10,-9
AB,8.27,59,53
AB,8.27,1,22
AB,8.28,84,57
AB,8.3,102,76
AB,8.31,14,19
AB,8.31,29,53
AB,8.32,-9,-34
AB,8.336,-24,17
AB,8.36,82,42
AB,8.36,-55,-50
AB,8.37,-26,20
AB,8.38,19,-6
AB,8.39,155,100
AB,8.4,30,29
AB,8.4,58,71
N,8.4,-4,149
AB,8.41,-35,26
AB,8.4,8.7,54.7
AB,8.46,-5,-3
AB,8.47,76,53
AB,8.49,3,-19
AB,8.5,37.3,25.3
AB,8.5,113.7,112.2
AB,8.50,141,95
AB,8.53,34,32
AB,8.54,95,79
AB,8.59,11,5
AB,8.60,-23,-13
M,8.61,125,87
AB,8.63,35,80
AB,8.65,27,32
AB,8.65,-69,-54
AB,8.68,174,116
AB,8.68,54,28
AB,8.69,31,48
AB,8.69,65,63
AB,8.70,15,-3
AB,8.7,-16,-2
AB,8.7,52,51
AB,8.70,45,52
AB,8.73,123,62
AB,8.73,75,82
AB,8.74,-6,15
AB,8.74,96,82
AB,8.75,178,117
AB,8.76,7,36
AB,8.77,46,44
AB,8.77,17,15
AB,8.78,-18,9
AB,8.79,2,-2
AB,8.80,6,41
AB,8.81,49,77
AB,8.82,64,50
AB,8.82,-1,21
AB,8.820,-5.6,26.5
AB,8.82,60,72
AB,8.83,51,53
AB,8.8,42.2,71.9
AB,8.85,10,-13
AB,8.86,49,67
AB,8.89,50,61
AB,8.89,-12,14
AB,8.89,42,33
AB,8.90,27,41
AB,8.927,61,22
AB,8.94,-20,36
AB,8.94,26,36
AB,8.94,49,40
AB,8.96,-27,-3
AB,8.96,58,46
AB,8.97,63,84
AB,8.97,28,57
AB,8.97,1,15
AB,8.98,45,49
AB,9.0,62,23
AB,9,42,46
AB,9.01,-15,33
AB,9.01,92,79
AB,9.03,62,23
AB,9.03,17,20
AB,9.04,98,84
AB,9.04,-46,-24
AB,9.0,0,26
AB,9.06,33,83
AB,9.08,114,107
AB,9.10,-7,20
AB,9.13,28,16
AB,9.13,11,30
AB,9.18,47,69
AB,9.21,80,50
AB,9.22,197,156
AB,9.23,37,37
AB,9.24,75,53
AB,9.26,44,44
AB,9.30,3,31
AB,9.33,25,33
AB,9.4,75.5,77.6
AB,9.39,32,69
AB,9.40,30,76
N,9.4,28,1118
AB,9.43,58,32
M,9.43,81,37
AB,9.43,44,19
AB,9.45,6,36
AB,9.61,40,25
AB,9.61,61,86
AB,9.62,96,111
AB,9.64,75,39
AB,9.68,22,27
AB,9.69,46,43
AB,9.69,44,35
AB,9.71,-10,3
AB,9.71,51,54
AB,9.72,-2,-3
U,9.72,10,-46
AB,9.73,37,29
AB,9.74,32,30
AB,9.8,7.0,33.5
AB,9.80,98,66
AB,9.82,26,45
AB,9.84,16,24
AB,9.87,23,14
AB,9.89,69,55
AB,9.898,-26,31
AB,9.9,5.1,24.6
AB,9.9,21,54
AB,9.91,-4,-5
AB,9.94,33,56
M,9.97,25,33
M,9.99,55,87
M,10.02,-21,-22
M,10.02,41,37
M,10.04,37,16
M,10.05,122,74
AB,10.07,40,57
Z,10.08,-11,127
M,10.12,35,5
M,10.18,-7,9
X,10.2,-73,-84
M,10.2,47,30
AB,10.28,17,27
M,10.29,-4,-1
M,10.32,-4,11
M,10.33,43,24
M,10.34,48,43
M,10.38,12,43
M,10.41,20,13
M,10.44,30,23
AB,10.44,20,41
M,10.45,11,-3
M,10.46,-7,17
M,10.46,24,52
M,10.46,71,44
M,10.48,66,31
M,10.52,-9,-4
M,10.52,69,32
AB,10.52,72,95
M,10.57,34,57
M,10.59,32,20
M,10.60,45,35
M,10.6,64,37
M,10.6,11,58
Z,10.64,-148,15
M,10.67,58,37
M,10.69,47,62
M,10.70,58,19
M,10.7,-21,17
M,10.71,95,97
M,10.72,-8,23
M,10.73,51,14
M,10.75,118,111
M,10.78,-2,5
M,10.78,30,52
M,10.8,45,25
AB,10.8,63,102
M,10.80,5,-1
Z,10.82,-186,-30
M,10.83,-10,21
M,10.84,37,65
M,10.85,-12,2
M,10.87,61,69
M,10.89,26,36
M,10.89,42,35
M,10.9,30.1,81.2
AB,10.9,-27,-20
M,10.9,17,7
M,10.9,76,63
M,10.96,-9,31
M,10.96,4,32
M,10.98,-16,4
Z,11,-15,65
M,11.01,21,39
M,11.04,-26,3
M,11.06,44,53
AB,11.1,18,46
M,11.1,98.4,85.9
M,11.11,-3,14
M,11.12,31,31
M,11.12,58,25
M,11.12,-13,-31
Z,11.13,37,108
M,11.14,6,25
Z,11.16,-14,40
M,11.23,25,38
M,11.25,20,17
AB,11.27,5.60,23.16
M,11.28,71,86
M,11.32,-9,15
M,11.33,-20,-1
M,11.37,119,96
M,11.38,69,61
AB,11.4,47,29
M,11.40,46,57
M,11.42,1,5
M,11.5,-27,-31
M,11.5,-9,3
M,11.51,14,56
M,11.52,55,20
M,11.57,5,38
M,11.60,-5,7
Z,11.6,-3,74
Z,11.6,-58.7,48.8
M,11.63,33,26
M,11.7,-4.3,7.6
M,11.76,0,-52
M,11.77,19,8
M,11.78,4,16
M,11.80,32,69
M,11.81,89,71
M,11.9,38,28
M,11.92,-12,-32
M,11.94,-34,11
AB,11.95,51,46
M,11.98,29,35
M,11.99,41,50
M,11.99,-10,21
M,12.01,27,71
M,12.03,-40,-10
M,12.05,-16,-23
M,12.06,63,46
M,12.1,-24.7,34.8
M,12.10,-13,-20
M,12.13,6,21
M,12.19,38,4
M,12.23,12,25
M,12.36,-23,14
M,12.36,31,13
M,12.37,56,35
M,12.39,-18,34
M,12.41,6,4
M,12.42,-9,5
X,12.44,-453,-486
M,12.45,64,20
M,12.48,80,43
M,12.48,39,25
M,12.49,46,29
M,12.54,-9,60
M,12.6,61.3,66.6
M,12.60,41,41
Z,12.61,-41,42
M,12.61,150,32
M,12.64,19,32
M,12.66,38,23
M,12.67,21,37
M,12.69,14,30
M,12.70,46,18
M,12.72,4,83
M,12.74,-2,26
Z,12.75,-45,29
M,12.77,0,18
M,12.84,28,17
M,12.9,64.0,72.2
M,12.86,24,18
M,12.90,51,62
M,12.90,103,55
M,12.95,109,90
M,12.96,22,19
M,12.97,35,46
M,12.98,173,132
M,12.99,19,42
M,13,118,138
M,13.01,48,39
M,13.03,56,40
M,13.06,58,30
M,13.11,58,28
M,13.12,18,50
M,13.13,68,62
M,13.13,48,44
M,13.14,16,2
M,13.14,11,20
Z,13.14,-57,47
Z,13.18,-85.2,34.2
M,13.18,41,45
M,13.18,5,50
M,13.20,150,110
M,13.24,2,24
M,13.24,38,33
U,13.26,3,102
M,13.26,29,44
M,13.26,12,5
M,13.30,54,44
M,13.37,32,62
M,13.39,42,32
X,13.46,-330,-86
M,13.50,-2,-6
U,13.52,141,-64
M,13.54,-14,-15
M,13.66,55,73
M,13.70,106,93
AB,13.7,9,38
Z,13.73,15,79
M,13.75,38,40
M,13.76,4,17
M,13.78,-20,-7
M,13.78,8,18
M,13.84,-3,13
M,13.86,23,37
M,13.90,28,30
M,13.91,5,32
M,13.93,17,36
M,13.95,22,-14
M,13.96,-16,13
M,13.98,32,9
M,13.98,36,126
M,14.00,-9,25
M,14.01,118,72
M,14.01,34,45
M,14.05,67,90
M,14.06,54,46
M,14.09,22,56
M,14.09,8,23
M,14.11,2,9
M,14.11,16,33
M,14.17,102,95
M,14.17,104,80
M,14.17,24,36
M,14.19,97,44
M,14.190,49.7,44.4
M,14.23,47,50
M,14.24,20,16
M,14.26,22,3
M,14.28,14,8
M,14.31,61,55
M,14.36,-21,28
M,14.41,-22,-142
M,14.47,36,44
M,14.49,87,74
M,14.49,29,13
M,14.50,19,32
M,14.52,-42,-39
X,14.54,-162,-90
M,14.55,17,31
M,14.55,13,45
M,14.58,41,5
M,14.59,-20,7
M,14.6,-11,47
M,14.61,52,35
M,14.64,59,112
M,14.65,27,25
M,14.65,42,98
M,14.65,33,50
M,14.68,11,27
M,14.69,59,43
M,14.7,-28,7
X,14.71,-329,-338
M,14.71,-35,157
Z,14.75,-44,26
M,14.77,226,159
M,14.78,-15,22
M,14.79,34,50
M,14.81,17,27
M,14.81,54,65
M,14.85,54,61
M,14.92,56,18
M,14.96,39,12
M,14.96,52,36
Z,14.96,-94,-7
M,14.98,22,-16
M,14.99,50,74
Z,15.01,-47,43
M,15.02,-9,13
M,15.07,30,14
M,15.10,16,83
M,15.15,0,-21
M,15.16,18,42
M,15.18,15,23
M,15.19,71,113
M,15.22,47,38
M,15.2,-26.1,-2.5
M,15.3,15,32
M,15.30,6,-27
M,15.38,8,39
Z,15.38,-10,64
M,15.42,42,26
M,15.47,120,128
M,15.50,28,-18
M,15.50,24,5
M,15.50,33,-7
M,15.52,66,59
M,15.53,23,15
M,15.54,52,76
M,15.58,51,22
M,15.58,25,38
X,15.60,-447,-301
M,15.60,32,26
M,15.61,24,37
M,15.61,82,81
M,15.65,14,20
M,15.65,6,4
M,15.72,23,32
M,15.72,37,9
M,15.74,-18,0
M,15.76,13,13
M,15.78,9,6
M,15.87,69,27
M,15.91,-1,1
M,15.98,49,21
M,15.98,-6,9
M,15.99,-50,-14
M,16.00,135,144
M,16.02,26,17
M,16.02,6,4
M,16.07,-9,35
M,16.08,17,12
M,16.15,-42,-37
M,16.16,43,19
M,16.16,22,42
M,16.16,65,62
M,16.20,9,54
M,16.25,32,31
M,16.26,15,-25
M,16.26,51,42
M,16.26,-133,-52
M,16.3,47.0,104.0
M,16.31,50,39
M,16.33,73,61
M,16.38,-20,-14
M,16.43,-19,28
M,16.44,61,58
M,16.48,34,46
M,16.54,86,134
M,16.55,28,14
M,16.56,-8,-13
M,16.6,70.3,76.1
M,16.63,-41,-27
M,16.63,-4,10
M,16.64,-20,-21
