Type,12C/13C,err+[12C/13C],err-[12C/13C]
M,54.17,1.47,1.39
M,54.16,1.83,1.83
M,54.16,0.30,0.30
M,54.16,0.28,0.28
M,54.16,1.29,1.23
M,54.14,3.71,3.26
M,54.14,1.2,1.2
M,54.14,1.30,1.24
M,54.13,1.52,1.44
M,54.1,0.7,0.7
Z,54.13,1.36,1.36
M,54.13,0.84,0.84
M,54.12,2.31,2.13
M,54.12,1.87,1.87
M,54.12,0.94,0.94
M,54.12,2.68,2.44
M,54.12,1.39,1.33
M,54.11,0.26,0.26
M,54.10,0.74,0.74
M,54.10,0.98,0.95
M,54.1,0.4,0.4
M,54.10,0.48,0.48
M,54.09,0.97,0.93
M,54.09,1.25,1.25
M,54.09,0.38,0.38
M,54.09,0.80,0.80
M,54.09,0.70,0.70
M,54.08,0.74,0.72
M,54.08,0.26,0.26
M,54.08,1.18,1.13
M,54.08,2.17,2.01
M,54.08,1.03,1.03
M,54.08,1.17,1.12
M,54.07,1.06,1.02
M,54.07,0.96,0.96
M,54.07,0.70,0.70
M,54.06,4.59,3.92
M,54.0,2.5,2.5
M,54.05,0.59,0.57
M,54.05,6.70,5.37
M,54.04,1.44,1.37
M,54.04,1.46,1.46
M,54.04,1.50,1.50
M,54.04,0.64,0.64
Z,54.03,1.78,1.78
M,54.03,1.07,1.03
M,54.03,3.36,2.99
M,54.03,0.73,0.73
M,54.01,1.35,1.29
M,54.01,1.22,1.22
M,54.01,0.90,0.90
M,54.01,1.72,1.72
M,54.00,0.97,0.94
M,54.00,1.24,1.24
M,54,1,1
Z,54,1.8,1.8
M,54,0.5,0.5
M,54,0.3,0.3
M,54,0.4,0.4
M,54.00,2.21,2.21
M,54.00,3.07,2.76
M,53.99,0.93,0.90
M,53.99,10.13,7.36
M,53.99,0.25,0.25
M,53.99,1.04,1.00
M,54.0,1.0,1.0
M,53.98,2.82,2.55
M,53.98,1.53,1.53
M,53.98,0.95,0.95
M,53.98,0.14,0.14
M,53.98,0.70,0.70
M,53.98,0.25,0.25
M,53.97,1.86,1.74
M,53.97,2.25,2.25
M,53.97,0.64,0.64
M,53.97,1.72,1.62
M,53.96,0.60,0.59
M,53.96,0.87,0.87
Z,53.95,0.44,0.44
M,53.95,0.70,0.70
M,53.95,0.63,0.63
M,53.94,0.55,0.55
M,53.94,0.89,0.89
M,53.94,2.48,2.48
Z,53.94,0.27,0.27
M,53.9,3.3,3.3
M,53.93,0.37,0.37
M,53.93,0.67,0.65
M,53.92,0.69,0.69
M,53.91,1.22,1.22
M,53.91,0.6,0.6
M,53.91,0.79,0.79
M,53.91,2.16,2.00
M,53.9,0.6,0.6
X,53.9,0.5,0.5
M,53.9,0.6,0.6
M,53.90,0.95,0.95
M,53.90,1.02,0.98
M,53.90,0.74,0.72
M,53.89,1.51,1.43
M,53.89,1.61,1.52
M,53.88,0.97,0.94
M,53.88,1.60,1.51
M,53.87,0.29,0.29
M,53.87,0.74,0.74
M,53.9,6.7,5.4
M,53.87,0.79,0.77
M,53.86,0.28,0.28
M,53.9,1.5,1.5
M,53.85,0.53,0.53
M,53.85,0.27,0.27
M,53.9,3.0,3.0
M,53.85,2.25,2.08
M,53.84,1.13,1.13
M,53.84,2.45,2.25
M,53.84,3.21,2.87
M,53.83,2.11,1.96
M,53.83,1.91,1.78
M,53.82,0.45,0.45
M,53.82,1.10,1.10
M,53.82,0.80,0.80
M,53.82,0.37,0.37
M,53.81,2.65,2.41
M,53.81,1.36,1.29
M,53.8,2.9,2.9
M,53.8,4.0,4.0
M,53.8,1.3,1.3
M,53.8,1.07,1.07
M,53.8,0.3,0.3
M,53.80,0.87,0.85
M,53.80,3.45,3.06
M,53.79,0.50,0.50
M,53.79,2.36,2.36
M,53.79,0.44,0.44
M,53.78,0.26,0.26
M,53.78,0.86,0.86
M,53.8,5.8,5.8
M,53.77,0.27,0.27
M,53.77,1.05,1.05
M,53.77,0.86,0.83
M,53.76,1.42,1.42
M,53.76,0.32,0.32
M,53.76,3.41,3.03
M,53.76,2.91,2.63
M,53.76,0.52,0.52
M,53.75,0.40,0.40
M,53.75,0.3,0.3
M,53.7,1.4,1.4
M,53.74,2.05,1.91
M,53.7,1.9,1.9
M,53.7,5.4,5.4
M,53.74,0.62,0.62
M,53.74,2.84,2.57
M,53.74,1.45,1.38
M,53.73,0.31,0.31
M,53.73,1.65,1.65
M,53.73,0.91,0.91
M,53.73,0.86,0.83
M,53.73,0.96,0.93
M,53.72,0.34,0.34
M,53.71,0.26,0.26
M,53.7,2.9,2.9
M,53.71,0.38,0.38
M,53.71,0.37,0.37
M,53.7,0.4,0.4
M,53.71,2.75,2.50
M,53.70,0.66,0.66
M,53.70,1.09,1.09
M,53.70,0.76,0.76
M,53.70,0.59,0.58
M,53.7,0.4,0.4
M,53.7,0.56,0.56
M,53.7,0.8,0.8
M,53.69,0.91,0.88
M,53.69,1.92,1.92
M,53.7,1.8,1.8
M,53.68,1.86,1.86
M,53.68,1.05,1.01
M,53.67,1.30,1.30
M,53.66,0.26,0.26
M,53.66,0.28,0.28
M,53.66,1.26,1.21
M,53.66,0.4,0.4
M,53.66,0.36,0.36
M,53.65,1.65,1.56
M,53.65,0.30,0.30
M,53.64,0.34,0.34
M,53.64,0.89,0.89
M,53.64,1.37,1.37
M,53.64,1.87,1.75
M,53.63,1.59,1.50
M,53.62,1.03,1.03
Z,53.62,0.82,0.82
M,53.62,0.78,0.78
M,53.62,1.42,1.35
M,53.62,0.29,0.29
M,53.61,0.59,0.59
M,53.61,0.44,0.44
M,53.61,1.99,1.85
M,53.60,1.74,1.64
M,53.60,1.00,0.97
M,53.59,2.51,2.30
M,53.6,3.8,3.8
M,53.58,0.41,0.41
M,53.58,0.63,0.63
Z,53.57,2.88,2.88
M,53.57,0.91,0.88
M,53.57,1.07,1.07
M,53.56,1.05,1.05
M,53.56,0.55,0.55
M,53.55,0.73,0.73
M,53.55,3.73,3.28
M,53.55,0.43,0.43
M,53.55,1.10,1.06
M,53.55,1.09,1.05
M,53.54,1.14,1.09
M,53.54,0.74,0.74
M,53.53,1.44,1.37
M,53.53,0.66,0.66
M,53.53,3.11,2.79
M,53.52,2.37,2.18
M,53.52,0.83,0.83
M,53.52,1.25,1.19
M,53.52,1.69,1.59
M,53.52,1.21,1.21
M,53.51,1.10,1.06
M,53.51,0.67,0.67
M,53.51,0.81,0.81
M,53.51,0.42,0.42
M,53.51,0.28,0.28
M,53.5,1.6,1.6
M,53.5,1.3,1.3
M,53.5,0.3,0.3
M,53.50,1.80,1.68
M,53.50,1.02,0.98
M,53.49,0.69,0.69
M,53.49,1.49,1.49
M,53.49,0.37,0.37
M,53.49,2.42,2.22
M,53.48,0.95,0.95
M,53.48,2.35,2.35
M,53.48,1.57,1.48
M,53.48,1.32,1.32
M,53.48,1.07,1.03
M,53.5,2.8,2.8
M,53.47,0.58,0.58
M,53.47,0.24,0.24
M,53.47,2.46,2.26
M,53.47,0.71,0.71
M,53.46,0.35,0.35
M,53.46,2.43,2.22
M,53.5,3.2,3.2
M,53.45,0.96,0.92
M,53.45,0.43,0.43
M,53.45,0.3,0.3
M,53.45,0.25,0.25
M,53.43,3.02,2.71
M,53.4,1.5,1.5
M,53.43,0.76,0.74
M,53.43,0.86,0.86
M,53.42,1.31,1.31
M,53.4,1.4,1.4
M,53.41,0.58,0.57
M,53.4,2.5,2.5
M,53.40,0.94,0.94
M,53.40,1.05,1.05
M,53.40,0.19,0.19
M,53.40,1.53,1.45
M,53.40,2.02,2.02
M,53.4,4.3,4.3
Z,53.4,1.19,1.19
M,53.4,0.6,0.6
M,53.40,2.25,2.25
M,53.39,0.52,0.52
M,53.4,17.2,17.2
M,53.39,0.57,0.57
M,53.39,4.60,3.92
M,53.39,0.15,0.15
M,53.39,1.62,1.53
M,53.38,0.55,0.54
M,53.38,5.58,4.61
M,53.38,0.97,0.97
M,53.37,0.76,0.76
M,53.37,0.45,0.45
M,53.37,0.55,0.55
M,53.37,1.11,1.11
M,53.4,10.0,10.0
M,53.37,2.47,2.26
M,53.36,0.67,0.66
M,53.36,0.33,0.33
M,53.36,0.55,0.55
M,53.35,0.29,0.29
M,53.34,0.91,0.91
M,53.34,0.26,0.26
M,53.34,0.28,0.28
M,53.3,5.0,5.0
M,53.33,1.40,1.33
M,53.3,0.2,0.2
M,53.3,3.1,3.1
M,53.32,2.58,2.35
M,53.31,0.37,0.37
M,53.31,1.22,1.22
M,53.31,1.28,1.22
M,53.30,1.66,1.56
M,53.3,0.5,0.5
M,53.3,0.4,0.4
M,53.3,0.5,0.5
M,53.30,1.26,1.26
M,53.30,0.31,0.31
M,53.29,1.50,1.50
M,53.29,0.4,0.4
M,53.29,0.34,0.34
M,53.29,0.69,0.69
M,53.29,0.50,0.50
Z,53.28,0.25,0.25
M,53.28,1.33,1.27
M,53.28,9.51,7.01
M,53.27,0.33,0.33
M,53.3,7.0,7.0
M,53.26,0.89,0.86
M,53.3,0.8,0.8
M,53.26,1.02,1.02
M,53.26,0.63,0.63
M,53.26,0.92,0.92
M,53.25,2.66,2.42
M,53.25,1.62,1.52
M,53.2,11.3,8.0
M,53.24,0.37,0.37
M,53.24,0.82,0.82
M,53.23,0.28,0.28
M,53.23,4.14,3.59
M,53.22,1.70,1.60
M,53.22,1.74,1.63
M,53.22,3.78,3.31
M,53.22,0.31,0.31
M,53.22,1.37,1.30
M,53.21,2.06,1.91
M,53.21,0.95,0.95
M,53.20,0.93,0.93
M,53.2,0.9,0.9
M,53.2,0.3,0.3
M,53.20,1.51,1.51
M,53.19,1.49,1.41
M,53.2,4.4,4.4
M,53.19,4.53,4.53
M,53.18,1.36,1.30
M,53.18,1.28,1.22
M,53.18,2.23,2.06
M,53.18,1.04,1.04
M,53.2,2.8,2.8
M,53.17,1.65,1.65
M,53.17,1.21,1.16
M,53.17,0.92,0.92
M,53.17,1.63,1.63
M,53.16,1.59,1.50
M,53.2,3.9,3.9
M,53.16,0.53,0.53
M,53.15,3.03,2.72
M,53.15,0.99,0.95
M,53.15,0.37,0.37
M,53.15,0.56,0.56
M,53.14,0.87,0.87
M,53.14,1.43,1.36
M,53.14,1.21,1.16
M,53.13,7.16,5.64
M,53.1,2.4,2.4
M,53.13,1.96,1.83
M,53.13,0.80,0.80
M,53.12,0.24,0.24
M,53.12,0.28,0.28
M,53.1,3.2,3.2
M,53.12,0.60,0.58
M,53.12,1.05,1.05
M,53.11,0.41,0.41
M,53.11,0.65,0.64
M,53.11,1.98,1.84
M,53.11,0.69,0.69
M,53.10,1.40,1.33
M,53.1,3.2,3.2
M,53.10,0.35,0.35
M,53.1,0.4,0.4
M,53.1,0.3,0.3
M,53.10,2.09,1.94
M,53.10,1.04,1.04
M,53.09,0.27,0.27
M,53.09,2.44,2.23
M,53.08,0.86,0.86
M,53.08,1.34,1.28
M,53.08,1.47,1.39
M,53.08,1.95,1.82
M,53.08,0.41,0.41
M,53.08,0.66,0.66
M,53.08,0.77,0.77
M,53.07,0.26,0.26
M,53.06,1.07,1.03
M,53.06,0.26,0.26
M,53.06,0.52,0.52
M,53.06,1.27,1.27
M,53.05,1.81,1.69
M,53.1,5.2,4.3
M,53.05,0.70,0.70
M,53.05,0.65,0.65
M,53.05,0.63,0.63
M,53.05,0.93,0.93
M,53.05,1.16,1.11
M,53.04,0.71,0.71
M,53.03,1.46,1.39
M,53.03,0.68,0.66
M,53.03,0.62,0.62
M,53.03,0.27,0.27
M,53.03,1.26,1.20
M,53.0,2.2,2.2
M,53.0,0.1,0.1
M,53.02,2.63,2.63
M,53.02,1.79,1.67
M,53.02,1.20,1.20
M,53.02,0.51,0.51
M,53.02,0.73,0.73
M,53.0,7.1,5.6
M,53.01,1.53,1.44
M,53.00,1.37,1.37
Z,53.00,0.33,0.33
M,53.0,1.5,1.5
M,53,1.15,1.15
M,53,0.4,0.4
M,53,0.4,0.4
M,53.00,1.06,1.02
M,53.00,0.39,0.39
M,53.0,1.3,1.3
M,52.99,1.25,1.25
Z,52.99,1.12,1.12
M,52.99,0.55,0.55
M,52.99,1.10,1.10
M,52.99,0.37,0.37
M,52.99,0.91,0.91
M,52.99,1.53,1.44
M,52.98,1.07,1.03
M,53.0,1.3,1.3
M,52.96,0.94,0.94
M,52.96,2.88,2.88
M,52.96,1.49,1.41
M,52.95,0.28,0.28
M,52.95,1.91,1.91
M,52.94,1.51,1.42
M,52.94,0.51,0.51
M,52.94,5.35,4.45
Z,52.93,2.00,2.00
M,52.93,1.00,1.00
M,52.93,2.37,2.37
M,52.93,1.25,1.25
M,52.93,0.55,0.55
M,52.9,1.5,1.5
M,52.9,1.3,1.3
M,52.91,1.29,1.23
M,52.9,0.6,0.6
M,52.9,1.9,1.9
M,52.91,1.48,1.40
M,52.91,1.96,1.83
M,52.91,1.69,1.59
M,52.91,2.69,2.44
M,52.90,1.97,1.83
M,52.90,1.48,1.40
M,52.9,0.7,0.7
M,52.90,0.65,0.65
M,52.9,0.4,0.4
M,52.9,1.28,1.28
M,52.9,0.3,0.3
M,52.9,0.5,0.5
M,52.90,0.85,0.85
M,52.9,6.7,5.3
M,52.89,0.25,0.25
M,52.89,2.19,2.02
X,52.89,3.59,3.16
M,52.88,0.25,0.25
M,52.88,0.69,0.69
M,52.88,0.72,0.70
M,52.88,0.42,0.42
M,52.87,5.05,4.24
Z,52.87,1.34,1.34
M,52.9,3.8,3.8
M,52.87,0.48,0.48
M,52.87,0.93,0.90
M,52.84,1.47,1.39
M,52.84,0.53,0.53
Z,52.84,0.96,0.96
M,52.84,0.63,0.63
M,52.84,1.70,1.60
M,52.84,1.77,1.66
Z,52.82,0.25,0.25
M,52.82,1.58,1.49
M,52.82,1.67,1.57
M,52.82,0.50,0.50
M,52.82,1.06,1.02
M,52.81,1.76,1.65
M,52.81,0.32,0.32
M,52.81,1.81,1.81
M,52.80,0.31,0.31
M,52.8,0.6,0.6
M,52.79,0.78,0.76
M,52.8,5.2,4.3
M,52.79,1.57,1.57
M,52.79,1.47,1.47
M,52.79,0.77,0.77
M,52.79,1.44,1.44
Z,52.79,0.31,0.31
M,52.78,1.33,1.27
M,52.8,1.6,1.6
M,52.78,0.69,0.69
M,52.77,1.39,1.32
M,52.77,1.42,1.42
M,52.77,1.15,1.11
M,52.76,0.25,0.25
M,52.76,0.72,0.72
M,52.76,0.71,0.71
M,52.76,0.72,0.72
M,52.76,1.11,1.11
M,52.75,0.24,0.24
M,52.75,0.81,0.81
M,52.75,0.26,0.26
M,52.75,0.54,0.54
M,52.75,0.26,0.26
M,52.74,5.50,4.55
M,52.74,1.20,1.15
M,52.73,0.69,0.67
M,52.73,0.86,0.86
Z,52.73,0.47,0.47
M,52.73,0.56,0.56
M,52.72,2.40,2.40
M,52.72,2.14,1.98
M,52.72,0.25,0.25
M,52.71,1.01,1.01
M,52.7,0.3,0.3
M,52.7,0.7,0.7
M,52.7,0.3,0.3
M,52.7,0.5,0.5
M,52.70,1.10,1.10
M,52.70,1.06,1.06
M,52.70,0.72,0.72
M,52.69,0.54,0.54
M,52.69,0.72,0.72
M,52.69,1.05,1.05
M,52.68,0.83,0.81
M,52.67,0.26,0.26
M,52.67,0.72,0.72
M,52.67,0.68,0.66
M,52.7,3.3,3.3
M,52.66,1.58,1.49
M,52.7,3.5,3.5
M,52.7,1.7,1.7
M,52.66,0.76,0.76
M,52.66,0.31,0.31
M,52.65,1.84,1.72
M,52.65,1.54,1.54
M,52.65,3.48,3.07
M,52.65,2.20,2.03
M,52.65,0.59,0.59
M,52.65,0.34,0.34
M,52.64,0.62,0.62
M,52.64,0.25,0.25
M,52.63,1.08,1.08
M,52.6,5.0,4.2
M,52.63,0.33,0.33
M,52.62,8.05,6.17
M,52.6,1.3,1.3
M,52.61,0.37,0.37
M,52.61,1.18,1.18
M,52.61,0.34,0.34
M,52.61,0.68,0.66
M,52.61,1.21,1.15
M,52.60,4.62,3.93
M,52.6,0.3,0.3
M,52.6,0.3,0.3
M,52.60,3.25,2.89
M,52.60,1.13,1.13
M,52.60,1.77,1.66
M,52.59,1.03,1.03
M,52.58,0.54,0.54
M,52.58,1.09,1.04
M,52.57,1.09,1.05
M,52.57,1.15,1.15
M,52.57,0.66,0.64
M,52.57,4.75,4.02
M,52.56,0.12,0.12
M,52.56,0.77,0.75
M,52.56,0.57,0.57
M,52.56,0.54,0.54
M,52.56,1.13,1.09
M,52.56,0.26,0.26
M,52.56,1.15,1.10
M,52.55,0.35,0.35
M,52.54,2.46,2.25
M,52.54,0.81,0.81
M,52.54,0.45,0.45
M,52.53,1.46,1.38
Z,52.53,1.60,1.50
M,52.53,0.47,0.47
M,52.5,3.1,3.1
M,52.53,1.79,1.67
M,52.52,1.49,1.41
M,52.5,2.7,2.7
M,52.5,6.4,5.2
M,52.5,1.3,1.3
M,52.51,1.05,1.05
M,52.51,0.88,0.85
M,52.51,1.56,1.48
M,52.51,1.84,1.72
M,52.5,0.4,0.4
M,52.5,2.1,2.1
M,52.5,0.9,0.9
M,52.5,0.5,0.5
M,52.5,0.4,0.4
M,52.50,0.67,0.67
M,52.50,0.25,0.25
M,52.50,1.13,1.13
M,52.50,2.07,2.07
M,52.5,2.0,2.0
M,52.49,2.57,2.57
M,52.5,6.9,6.9
M,52.49,0.25,0.25
M,52.48,2.11,2.11
M,52.48,0.68,0.68
M,52.48,2.85,2.57
M,52.47,1.95,1.82
M,52.47,0.85,0.85
M,52.47,1.18,1.18
M,52.47,1.59,1.59
M,52.5,7.5,5.9
M,52.46,0.96,0.93
M,52.45,3.37,2.98
M,52.45,0.61,0.61
M,52.45,0.89,0.89
M,52.44,1.83,1.71
M,52.44,1.04,1.00
M,52.43,0.25,0.25
M,52.43,1.03,0.99
M,52.43,1.51,1.43
M,52.42,0.98,0.94
M,52.4,2.5,2.5
M,52.41,1.30,1.24
M,52.41,0.67,0.67
M,52.41,0.75,0.75
M,52.40,0.35,0.35
M,52.4,0.4,0.4
M,52.4,1.45,1.45
M,52.4,0.5,0.5
M,52.40,0.31,0.31
M,52.39,1.54,1.46
M,52.4,2.2,2.2
M,52.39,0.31,0.31
M,52.39,0.61,0.61
M,52.39,2.36,2.17
M,52.39,0.48,0.48
M,52.39,1.19,1.14
M,52.38,0.86,0.83
M,52.38,0.90,0.90
M,52.38,0.37,0.37
M,52.38,1.75,1.64
M,52.4,1.4,1.4
M,52.4,10.1,10.1
M,52.38,1.5,1.5
M,52.38,0.64,0.64
M,52.38,1.25,1.19
M,52.38,0.78,0.76
M,52.37,1.47,1.39
M,52.4,3.2,2.9
M,52.36,0.65,0.65
M,52.36,3.03,3.03
M,52.36,0.93,0.93
M,52.35,0.54,0.54
M,52.35,0.66,0.66
M,52.35,5.04,4.23
M,52.35,0.74,0.74
M,52.35,0.26,0.26
M,52.35,1.12,1.12
M,52.34,2.07,1.92
M,52.34,0.93,0.93
M,52.3,1.4,1.4
M,52.34,0.94,0.91
M,52.34,2.18,2.01
M,52.34,2.95,2.65
M,52.34,1.70,1.59
M,52.33,0.54,0.54
M,52.3,2.0,2.0
M,52.33,0.93,0.90
M,52.3,2.4,2.4
M,52.33,0.65,0.65
M,52.33,0.59,0.59
Z,52.32,1.04,1.04
M,52.32,1.59,1.59
M,52.32,2.37,2.17
M,52.31,2.25,2.07
M,52.31,2.73,2.47
M,52.31,0.58,0.58
M,52.31,1.25,1.25
M,52.31,0.36,0.36
M,52.31,0.36,0.36
M,52.31,0.32,0.32
M,52.31,0.24,0.24
M,52.31,2.37,2.18
M,52.30,0.98,0.94
M,52.30,0.54,0.54
Z,52.3,1.2,1.2
M,52.3,0.72,0.72
M,52.3,0.89,0.89
M,52.30,0.61,0.61
M,52.29,1.41,1.34
M,52.29,2.18,2.18
M,52.29,0.54,0.54
M,52.28,1.00,0.96
M,52.28,3.35,2.97
M,52.27,2.57,2.34
M,52.27,1.77,1.66
M,52.27,0.56,0.56
M,52.27,0.56,0.56
M,52.26,1.20,1.14
M,52.25,0.36,0.36
M,52.24,1.80,1.68
M,52.24,1.17,1.17
M,52.24,1.76,1.65
M,52.24,1.06,1.02
M,52.24,0.23,0.23
M,52.23,1.07,1.02
M,52.23,0.98,0.94
M,52.23,2.02,1.87
M,52.2,0.4,0.4
M,52.22,1.75,1.64
M,52.21,1.08,1.08
M,52.21,0.20,0.20
M,52.2,1.0,1.0
M,52.20,1.45,1.37
M,52.20,1.04,1.00
M,52.2,0.5,0.5
M,52.19,1.53,1.45
M,52.19,1.61,1.51
M,52.19,1.43,1.35
M,52.18,0.80,0.78
M,52.17,3.58,3.15
M,52.17,2.86,2.86
M,52.17,1.38,1.31
M,52.16,1.08,1.04
M,52.16,8.33,8.33
M,52.16,0.48,0.48
M,52.15,3.24,2.88
M,52.15,0.61,0.61
M,52.15,0.67,0.67
M,52.15,1.14,1.14
M,52.15,2.13,1.97
M,52.2,1.3,1.3
M,52.15,0.62,0.62
M,52.15,0.68,0.68
M,52.15,0.11,0.11
M,52.14,0.83,0.83
M,52.14,1.31,1.25
M,52.14,0.67,0.67
M,52.14,1.08,1.03
M,52.12,0.24,0.24
M,52.12,1.35,1.35
M,52.12,0.96,0.93
M,52.11,1.88,1.75
M,52.1,6.5,6.5
M,52.1,0.3,0.3
M,52.10,0.27,0.27
M,52.10,4.05,3.51
M,52.1,1.71,1.71
Z,52.1,0.5,0.5
M,52.1,0.3,0.3
M,52.10,0.89,0.89
M,52.10,0.66,0.66
Z,52.10,0.37,0.37
M,52.10,2.31,2.31
M,52.10,0.60,0.60
M,52.09,2.30,2.12
M,52.09,0.35,0.35
M,52.09,1.47,1.39
M,52.1,0.4,0.4
M,52.1,9.7,7.1
M,52.07,1.75,1.64
M,52.07,1.30,1.24
M,52.07,0.73,0.73
M,52.07,0.40,0.40
M,52.07,0.35,0.35
M,52.04,3.52,3.10
M,52.04,0.68,0.68
M,52.04,1.33,1.27
M,52.0,3.1,3.1
M,52.03,0.35,0.35
M,52.02,0.24,0.24
M,52.02,0.97,0.94
M,52.02,1.10,1.06
M,52.0,1.2,1.2
M,52.0,2.0,2.0
M,52.01,0.57,0.56
M,52.01,0.32,0.32
M,52.00,0.84,0.84
M,52.00,0.31,0.31
M,52,0.4,0.4
M,52,0.53,0.53
M,51.99,2.09,1.93
M,51.99,1.30,1.24
M,51.98,0.36,0.36
M,51.98,0.93,0.93
M,51.98,3.35,2.97
M,51.98,1.28,1.28
M,51.98,3.54,3.11
M,51.98,1.59,1.49
M,51.98,1.82,1.70
M,52.0,2.2,2.2
M,51.97,0.80,0.80
M,51.95,0.30,0.30
M,51.95,0.95,0.92
M,51.95,1.93,1.80
M,51.95,8.41,6.35
M,51.94,2.48,2.26
M,51.94,0.51,0.51
M,51.94,1.51,1.43
M,51.93,0.76,0.76
M,51.93,0.89,0.89
M,51.9,2.7,2.7
Z,51.92,0.94,0.94
M,51.92,0.52,0.52
Z,51.92,0.41,0.41
M,51.92,0.28,0.28
M,51.92,0.37,0.37
M,51.91,1.31,1.25
M,51.91,1.31,1.25
M,51.9,1.2,1.2
M,51.91,3.67,3.67
M,51.91,0.26,0.26
M,51.9,1.4,1.4
M,51.91,0.69,0.67
M,51.91,1.66,1.56
M,51.90,1.48,1.40
M,51.9,1.3,1.3
M,51.89,3.38,2.99
M,51.87,0.32,0.32
M,51.87,0.26,0.26
M,51.87,0.36,0.36
M,51.87,1.34,1.27
M,51.87,2.39,2.19
M,51.87,2.63,2.38
M,51.86,1.33,1.26
Z,51.86,2.32,2.13
M,51.86,0.83,0.83
M,51.86,0.49,0.49
M,51.86,0.73,0.73
M,51.86,1.41,1.34
M,51.9,0.3,0.3
M,51.85,1.28,1.22
M,51.85,0.27,0.27
M,51.84,2.63,2.39
M,51.84,1.25,1.25
M,51.8,1.6,1.6
M,51.84,0.65,0.65
M,51.83,1.20,1.15
M,51.83,1.19,1.14
Z,51.83,0.25,0.25
M,51.82,1.92,1.78
M,51.81,0.98,0.94
M,51.81,0.86,0.86
M,51.81,0.81,0.79
M,51.81,1.27,1.21
M,51.81,2.19,2.02
M,51.81,4.46,4.46
M,51.8,2.8,2.8
M,51.81,0.24,0.24
M,51.80,1.36,1.29
M,51.8,0.6,0.6
M,51.8,0.4,0.4
M,51.80,0.36,0.36
M,51.80,1.26,1.20
M,51.79,1.11,1.07
M,51.79,1.25,1.19
M,51.79,1.27,1.27
M,51.79,2.42,2.21
M,51.78,1.94,1.81
M,51.78,0.32,0.32
M,51.78,1.95,1.81
M,51.77,0.81,0.81
M,51.77,3.75,3.27
M,51.8,1.2,1.2
M,51.77,0.52,0.52
M,51.77,1.33,1.26
M,51.76,1.63,1.54
M,51.76,1.41,1.33
M,51.76,1.06,1.01
M,51.75,0.74,0.72
M,51.75,1.67,1.57
M,51.75,0.53,0.53
M,51.75,2.37,2.17
M,51.8,3.6,3.6
M,51.75,0.23,0.23
M,51.75,1.52,1.44
M,51.75,3.57,3.14
M,51.74,0.40,0.40
Z,51.74,1.87,1.75
M,51.74,0.54,0.53
M,51.74,2.78,2.51
M,51.73,0.82,0.82
M,51.73,1.28,1.22
M,51.73,1.33,1.33
M,51.73,1.12,1.12
M,51.72,0.81,0.78
M,51.72,1.57,1.48
M,51.72,1.82,1.70
M,51.71,1.58,1.49
M,51.71,0.79,0.79
M,51.70,1.79,1.68
M,51.70,0.62,0.62
Z,51.70,0.77,0.77
M,51.7,1.01,1.01
M,51.70,2.12,1.96
M,51.70,0.28,0.28
M,51.70,0.36,0.36
M,51.70,0.25,0.25
M,51.68,1.15,1.10
M,51.68,0.46,0.46
M,51.68,0.36,0.36
M,51.7,2.6,2.6
M,51.68,1.87,1.87
Z,51.68,0.55,0.55
M,51.67,0.62,0.62
M,51.7,2.4,2.4
M,51.67,1.74,1.63
M,51.67,1.24,1.18
M,51.67,1.00,1.00
M,51.7,0.4,0.4
M,51.65,1.45,1.45
M,51.65,0.78,0.78
M,51.65,0.4,0.4
M,51.6,1.4,1.4
M,51.65,0.28,0.28
Z,51.65,1.27,1.27
M,51.64,0.33,0.33
M,51.64,0.59,0.59
M,51.63,1.74,1.63
M,51.63,1.16,1.16
M,51.62,11.53,7.97
M,51.62,0.86,0.83
M,51.62,0.42,0.42
M,51.62,0.55,0.55
M,51.61,0.71,0.69
M,51.61,1.69,1.58
M,51.61,1.73,1.62
M,51.61,0.22,0.22
M,51.61,0.70,0.70
U,51.6,2.8,2.5
M,51.60,1.41,1.33
M,51.6,0.7,0.7
M,51.6,0.4,0.4
M,51.60,0.80,0.80
M,51.60,0.26,0.26
M,51.6,9.4,9.4
M,51.59,0.53,0.53
M,51.59,1.40,1.33
M,51.58,1.30,1.24
M,51.58,1.85,1.72
M,51.58,0.36,0.36
M,51.57,1.44,1.44
M,51.6,2.2,2.2
Z,51.57,0.35,0.35
M,51.56,4.96,4.16
M,51.56,2.83,2.55
M,51.56,0.26,0.26
M,51.56,0.81,0.79
M,51.54,1.00,1.00
M,51.54,0.31,0.31
M,51.53,0.88,0.88
M,51.53,0.68,0.68
M,51.53,2.18,2.01
M,51.53,0.25,0.25
M,51.53,0.25,0.25
M,51.53,4.65,3.94
M,51.52,0.31,0.31
M,51.52,1.21,1.16
M,51.52,0.60,0.58
Z,51.51,2.49,2.49
M,51.51,2.05,1.90
M,51.51,0.76,0.74
M,51.51,0.85,0.85
M,51.50,0.65,0.65
M,51.50,0.69,0.69
M,51.5,1.0,1.0
M,51.5,0.6,0.6
M,51.5,0.3,0.3
M,51.50,2.33,2.14
M,51.49,6.83,5.40
M,51.49,1.40,1.33
M,51.49,1.95,1.95
M,51.48,1.34,1.28
M,51.48,0.72,0.72
M,51.48,0.46,0.46
M,51.48,0.27,0.27
M,51.48,0.30,0.30
M,51.5,3.9,3.4
M,51.47,2.41,2.20
M,51.46,3.95,3.42
M,51.46,0.81,0.78
