Type,12C/13C,err+[12C/13C],err-[12C/13C]
Y,104.64,3.7,3.7
Y,104.62,3.67,3.67
M,104.6,8.1,8.1
Y,104.58,1.59,1.59
Y,104.53,1.20,1.18
Y,104.5,1.5,1.5
Y,104.5,1.5,1.5
Y,104.48,2.42,2.31
Y,104.42,1.58,1.58
Y,104.30,2.01,1.94
Y,104.3,3.1,3.1
Y,104.29,0.52,0.52
Y,104.13,1.90,1.90
Y,104.01,2.40,2.29
Y,103.85,1.19,1.19
Y,103.85,7.91,7.91
M,103.82,4.15,3.84
Y,103.74,1.51,1.47
Y,103.73,0.56,0.56
Y,103.73,2.60,2.60
Y,103.7,1.5,1.5
Y,103.67,14.59,14.59
M,103.63,10.18,8.51
Y,103.60,1.20,1.17
M,103.4,27.4,17.9
Y,103.37,2.03,2.03
Y,103.36,2.14,2.06
Y,103.34,2.07,2.07
M,103.3,6.3,6.3
Y,103.3,0.7,0.7
M,103.2,6.0,6.0
Y,103.2,1.5,1.5
Y,103.05,4.99,4.99
Y,102.9,1.1,1.1
M,102.9,6.6,6.6
Y,102.89,1.82,1.82
M,102.84,4.97,4.53
Y,102.82,2.43,2.43
Y,102.8,1,1
X,102.7,1.0,1.0
Y,102.7,1.4,1.4
Y,102.69,0.67,0.67
Y,102.65,3.24,3.24
Y,102.64,0.49,0.49
Y,102.59,2.41,2.41
Y,102.58,1.83,1.83
Y,102.54,3.40,3.40
Z,102.44,1.78,1.78
Y,102.4,0.8,0.8
Y,102.39,3.30,3.30
Y,102.33,2.74,2.74
Y,102.21,1.23,1.23
Y,102.19,0.91,0.91
Y,102.15,6.79,6.00
Y,102.15,0.54,0.54
Y,102.11,3.36,3.15
Y,102.10,0.88,0.88
Y,102.05,0.49,0.49
Y,102,2,2
Y,101.98,1.30,1.30
Y,101.95,0.61,0.61
Y,101.94,2.33,2.33
Y,101.93,5.62,5.06
Y,101.93,2.02,2.02
X,101.91,0.98,0.98
Y,101.87,11.11,11.11
Y,101.86,0.91,0.91
Y,101.85,0.72,0.72
X,101.9,2.9,2.8
Y,101.76,2.31,2.31
M,101.8,3.7,3.7
Y,101.71,1.30,1.30
Y,101.7,1.7,1.7
M,101.7,19.8,14.2
Y,101.61,1.56,1.56
M,101.6,3.0,3.0
M,101.6,1.4,1.4
Y,101.49,4.05,3.75
Y,101.47,4.36,4.36
Y,101.46,0.60,0.60
Y,101.42,1.66,1.61
Y,101.38,1.11,1.11
Y,101.30,2.18,2.18
Y,101.3,1.7,1.7
Y,101.27,9.37,7.91
Y,101.26,1.70,1.70
Y,101.19,1.16,1.16
Y,101.17,2.31,2.31
Y,101.06,0.59,0.59
Y,101,2,2
X,101,3,3
X,101,3,3
X,101.0,1.7,1.7
Y,100.94,1.28,1.28
M,100.9,4.2,4.2
Y,100.85,1.07,1.07
M,100.82,3.76,3.76
Y,100.81,3.46,3.24
X,100.76,0.49,0.49
Y,100.72,0.98,0.98
Y,100.71,0.75,0.75
Y,100.71,0.75,0.75
Y,100.67,4.26,4.26
M,100.7,6.8,6.8
Y,100.65,1.66,1.66
M,100.64,9.74,8.16
Y,100.60,1.67,1.67
Y,100.6,0.8,0.8
Y,100.55,3.76,3.76
Y,100.54,3.16,3.16
Y,100.53,8.03,6.92
Y,100.47,0.76,0.76
Y,100.47,0.62,0.62
Y,100.46,2.24,2.24
Y,100.45,5.00,4.55
Z,100.45,1.03,1.03
Y,100.4,4.3,4.3
Y,100.37,0.55,0.55
Y,100.37,0.69,0.69
Y,100.30,1.73,1.73
Y,100.2,0.7,0.7
Y,100.2,1.1,1.1
M,100.12,8.29,7.11
Y,100.08,0.61,0.61
Y,99.99,2.59,2.59
M,99.91,2.29,2.29
M,99.91,4.00,3.70
Y,99.9,0.8,0.8
M,99.89,2.97,2.97
M,99.84,0.85,0.85
M,99.82,1.25,1.25
M,99.8,13.5,13.5
M,99.75,3.84,3.84
M,99.72,3.67,3.67
M,99.69,1.85,1.85
M,99.68,3.90,3.90
M,99.68,0.66,0.66
M,99.65,0.52,0.52
X,99.6,0.8,0.8
M,99.56,3.51,3.51
M,99.54,1.05,1.05
Y,99.5,0.9,0.9
M,99.2,2.2,2.2
M,99.12,1.70,1.70
M,99.08,5.29,5.29
M,99.08,0.50,0.50
M,98.99,0.90,0.90
M,98.9,0.9,0.9
M,98.9,7.4,7.4
M,98.87,2.43,2.43
M,98.87,15.92,12.04
Y,98.85,1.03,1.03
X,98.74,0.75,0.75
U,98.67,2.73,2.73
M,98.5,6.7,6.7
M,98.46,0.51,0.51
M,98.41,4.76,4.76
M,98.36,14.54,14.54
M,98.4,4.2,4.2
Z,98.32,1.82,1.82
M,98.24,0.47,0.47
M,98.22,2.01,1.93
M,98.22,2.67,2.53
Z,98.18,1.77,1.77
M,98.16,5.41,4.87
M,98.16,2.43,2.43
M,98.15,1.61,1.61
M,98.14,0.58,0.58
M,98.1,1.3,1.3
M,98.1,1,1
M,98.1,5.0,5.0
X,98.01,1.3,1.3
M,98.00,0.81,0.81
Z,98,0.9,0.9
M,97.99,1.16,1.16
M,97.96,2.02,2.02
M,97.96,1.35,1.35
M,97.9,5.7,5.7
M,97.9,5.79,5.79
M,97.89,2.48,2.48
M,97.87,1.46,1.46
M,97.85,0.98,0.98
M,97.84,4.88,4.88
M,97.80,12.18,12.18
M,97.8,0.6,0.6
M,97.75,8.27,8.27
M,97.74,0.87,0.87
M,97.72,1.63,1.63
M,97.68,1.85,1.85
M,97.68,3.57,3.57
M,97.68,2.37,2.37
M,97.60,5.44,5.44
M,97.51,2.60,2.60
M,97.5,5.2,5.2
M,97.45,0.57,0.57
M,97.44,5.1,5.1
M,97.43,3.97,3.97
M,97.4,0.5,0.5
M,97.39,1.64,1.59
M,97.38,5.13,5.13
M,97.33,4.36,4.00
M,97.28,3.79,3.79
M,97.3,3.0,3.0
M,97.25,1.47,1.47
M,97.2,0.9,0.9
M,97.17,1.71,1.71
Z,97.14,7.65,7.65
M,97.11,4.63,4.63
M,97.06,2.85,2.69
M,97.04,2.55,2.55
M,97,3,3
X,97.0,8.6,8.6
M,96.95,3.87,3.87
M,96.9,5.1,5.1
U,96.87,1.04,1.04
M,96.87,2.07,2.07
M,96.86,3.32,3.11
M,96.9,18.6,13.4
Z,96.84,1.41,1.41
M,96.83,1.95,1.95
M,96.82,4.13,4.13
X,96.8,1.6,1.5
M,96.81,2.98,2.98
X,96.8,4.3,4.3
M,96.77,5.27,4.76
M,96.75,3.56,3.56
M,96.69,8.59,8.59
M,96.64,0.68,0.68
Z,96.55,2.48,2.48
Z,96.5,1.4,1.4
Z,96.46,3.11,3.11
M,96.45,0.56,0.56
M,96.43,5.52,4.95
M,96.4,4.9,4.9
M,96.41,4.96,4.50
Z,96.4,1.71,1.71
M,96.37,5.63,5.63
M,96.37,0.50,0.50
M,96.34,7.32,7.32
X,96,26,17
M,96.29,2.74,2.74
M,96.28,1.57,1.57
M,96.27,0.58,0.58
M,96.26,0.49,0.49
M,96.25,3.19,3.19
M,96.2,3.4,3.4
M,96.23,0.50,0.50
M,96.22,7.97,7.97
M,96.22,1.75,1.75
X,96.2,0.51,0.51
M,96.19,2.77,2.61
M,96.16,1.05,1.05
M,96.12,4.81,4.81
X,96.10,4.17,3.84
M,96.08,1.26,1.26
M,95.98,3.62,3.62
M,95.93,0.96,0.96
M,95.92,1.69,1.69
Y,95.90,3.73,3.46
M,95.9,1,1
M,95.89,1.31,1.31
M,95.87,0.52,0.52
M,95.86,1.41,1.41
M,95.8,11.6,9.3
