Type,carbon_12_13,nitrogen_14_15
M,43.8,197
M,43.8,1164
M,43.8,8047
X,43.9,20.5
M,43.9,1375
M,43.9,1515
M,44.00,1153
M,44.0,2117
M,44.1,1186
M,44.2,4006
M,44.2,1709
M,44.34,491.5
M,44.4,6176
M,44.37,406
M,44.4,475
M,44.5,1665
M,44.50,3096
M,44.71,284
M,44.73,511
M,44.73,759.45
M,44.74,485
M,44.8,4967
M,44.83,337
M,44.8,1167
M,44.84,2570
M,44.88,705.34
M,44.90,2924
M,44.9,3240
M,45.0,2421
M,45.03,921
M,45.1,4480
X,45.1,123
M,45.1,785.89
M,45.15,314
M,45.20,604
M,45.3,1682
M,45.26,2071
M,45.27,434
X,45.3,67.5
M,45.4,2484
M,45.45,1045
M,45.46,435
M,45.5,647
M,45.50,1578
M,45.5,1094
M,45.6,2945
M,45.55,4695
M,45.59,484
M,45.6,541
M,45.61,893
M,45.64,587.08
M,45.64,2341
M,45.7,1219
M,45.67,1792.28
M,45.70,497
Z,45.7,282
M,45.7,2455
M,45.76,431
M,45.79,297
M,45.8,257
M,45.8,2920
M,45.84,354
M,45.87,1208
M,45.91,453
M,45.91,693
M,45.92,859
M,45.93,1290
M,45.94,3602.52
M,46.0,1003
M,45.98,399
M,46.01,3163
M,46.08,244
M,46.09,2922
M,46.1,2032
Z,46.10,936
M,46.1,3367
M,46.1,9107
M,46.1,2696
M,46.1,3956
M,46.2,1872
M,46.25,2522
M,46.3,1262
M,46.33,1095
M,46.3,7908
M,46.4,2204
M,46.4,1651.29
M,46.5,3254
M,46.46,402
M,46.48,994
M,46.5,3441
M,46.5,3496
M,46.59,1280.06
M,46.6,3891
M,46.61,3365
M,46.62,417
M,46.64,1465
M,46.7,377
M,46.67,2324
M,46.75,547
M,46.8,2609
M,46.78,1214
M,46.8,3148
M,46.8,4373
M,46.81,2968
M,46.8,3492
M,46.9,7010
M,46.97,884
M,46.98,1051
M,47.0,252
M,47.0,1203
M,47.0,1562
M,47.07,323
M,47.07,985
M,47.08,636
M,47.08,2392
M,47.08,361
