Type,d(29Si/28Si),d(30Si/28Si)
X,-125,-125
X,-99,-123
X,-101,-121
X,-226,-120
X,-81,-119
M,-50,-116
X,-66,-116
M,-70,-116
Z,-59.0,-115.7
M,-90,-109
M,-55,-108
M,-12,-107
X,-101,-107
M,-14,-107
M,-80,-106
M,-92,-104
X,-79,-104
X,-89,-103
M,-88,-102
X,-111,-101
M,-66,-101
M,1,-101
M,-37,-101
M,-60,-100
M,19,-100
X,-56,-100
X,-111,-99
M,-55,-99
M,-15,-99
M,-63,-99
M,-21,-99
X,-172,-98
M,-37,-96
X,-55,-92
M,-81,-92
X,-61,-91
Y,-14,-90
M,-70,-90
X,-162,-90
M,-102,-90
M,-58,-89
X,-55,-89
X,-33,-88
M,-5,-88
M,-36,-87
X,-330,-86
M,-64,-86
Y,-59.0,-85.6
M,-67,-86
Y,-135,-85
M,31,-85
M,-52.8,-84.9
X,-73,-84
M,-62,-83
M,-10,-83
M,-37,-82
M,-92,-82
M,-34,-81
M,-47,-81
M,-78,-80
X,-138,-80
M,-41,-80
M,16,-80
M,-98,-79
M,-76,-79
M,-214,-79
M,-76,-78
M,-65,-78
M,-17,-78
M,-61,-77
M,-6,-76
M,-68,-75
M,-62,-75
M,-62,-75
X,-159,-74
M,-54,-73
M,79,-73
Z,-115,-73
Y,-72,-73
M,-13,-72
AB,-97,-72
M,-102,-72
M,-76,-72
M,-33,-71
M,-58,-71
M,-15,-70
M,107,-70
Y,-74,-70
M,-71,-70
M,-21,-70
M,-115,-70
M,-26,-69
M,-67,-69
X,-77,-68
Y,-94,-68
M,-27,-68
M,-20,-67
M,-40,-67
M,-60,-67
M,-50,-67
M,-36,-66
M,35,-66
AB,-63,-66
M,-53,-66
M,-49,-66
Y,-31.1,-65.4
M,-28,-65
M,16,-65
M,-48,-65
AB,-39.1,-64.3
M,-83,-64
AB,-235,-64
M,-49,-64
M,-25,-64
U,141,-64
M,-52,-63
M,-49,-63
M,-28,-63
M,-39,-63
AB,-17,-63
M,-47,-63
M,-64,-63
M,-101,-62
AB,-68,-62
M,-16,-62
X,-68,-62
M,-46,-62
M,-43,-61
M,-75,-61
M,-40,-61
M,-34,-61
M,-30,-61
M,1,-61
X,-63,-61
M,-34,-61
M,-24,-60
M,-36,-60
M,-48,-60
M,-53,-60
M,-41,-60
M,-31,-60
M,-78,-59
M,-23,-58
Y,-39,-58
M,-88,-58
M,-37,-58
AB,-48,-58
M,-51,-58
M,-36,-58
M,-41,-57
M,-58,-56
M,-21,-56
M,11,-56
M,-18,-56
M,-64,-56
M,-31,-56
M,-15,-56
M,-47,-55
M,17,-55
M,-46,-55
M,-47,-54
M,-45,-54
M,-57,-54
Z,-103,-54
M,-94,-54
M,-59,-54
M,-81,-54
AB,-69,-54
M,11,-54
M,-47,-54
M,-59,-54
M,-42,-54
M,-29,-53
M,-77,-53
M,-33,-53
Y,-65,-53
M,57,-53
M,-53,-52
M,-133,-52
M,0,-52
AB,-4,-52
M,47,-51
M,-53,-51
M,-51,-51
M,-47,-51
M,-112,-51
M,-88,-51
M,-84,-50
M,-56,-50
M,-45,-50
M,-44,-50
M,-44,-50
M,-51,-50
Y,14,-50
M,-38,-50
M,4,-50
AB,-55,-50
M,-62,-50
M,-51,-50
M,-4,-50
M,-74,-50
X,-105,-50
M,-4,-49
M,-68,-49
M,-55,-49
M,-41,-49
M,-18,-49
M,1,-49
M,-45,-49
M,-91,-49
M,-86,-48
Y,-47,-48
Y,9,-48
M,-14,-48
M,-31,-48
M,14,-48
M,-28,-48
M,-11,-47
AB,-60,-47
M,-72,-47
M,-38,-47
M,-30,-47
M,-54,-47
AB,-53,-47
M,-15,-47
M,-85,-47
AB,37,-47
M,-43,-47
M,-67,-47
Y,-17,-46
M,-128,-46
M,-43,-46
U,10,-46
Y,-32,-46
M,-50,-46
M,-8,-46
M,-39,-46
M,5,-46
M,-66,-46
M,-17,-46
M,59,-46
M,-50.6,-45.6
M,-13,-45
M,-48,-45
M,-25,-45
M,-63,-45
M,-64,-45
Y,-71,-45
M,-40,-45
M,-51,-45
M,-20,-45
M,-53,-44
M,35,-44
AB,-9,-44
M,-59,-44
M,-47,-44
M,-22,-44
M,-53,-44
M,-48,-44
M,-5,-44
M,-40,-44
M,-35,-44
X,-21,-44
AB,-49,-43
M,20,-43
M,-35,-43
M,-52,-42
M,-32,-42
M,18,-42
M,-35,-42
Y,-53,-42
M,-32,-42
M,-6,-42
M,-48,-42
M,-22,-42
M,-31,-42
M,-59,-42
M,-46,-42
M,-29,-42
M,-4,-42
M,-57,-42
M,-81,-41
M,-12,-41
Y,18,-41
AB,-48,-41
M,-21,-41
M,-40,-41
M,-32,-41
AB,-42,-41
Z,-100,-41
M,-43,-41
M,-32,-41
M,-62,-41
M,-52,-41
M,-37,-40
M,2,-40
M,-43,-40
M,-32,-40
Y,-55,-40
M,-37,-40
Y,-24,-40
M,-48,-40
M,14,-40
AB,-31,-40
M,-27,-39
M,-3,-39
M,-45,-39
Y,-46,-39
AB,-37,-39
M,-36,-39
Z,-177,-39
M,-42,-39
M,9,-39
X,-242,-39
M,-27,-39
M,-32,-39
M,-23,-39
M,-19,-39
M,-24,-39
M,-43,-39
M,-60,-38
M,50,-38
M,-23,-38
AB,-45,-38
M,-22,-38
M,27,-38
M,-21,-38
M,-88,-38
M,-51,-38
M,-24,-38
M,-3,-37
M,-14,-37
M,-41,-37
M,-21,-37
X,137,-37
M,-42,-37
M,-61,-37
M,-46,-37
M,-32,-37
M,7,-37
AB,-19,-37
M,23,-37
M,37,-37
Z,-85,-36
M,-28,-36
M,-35,-36
M,-34,-36
M,-33,-36
M,-17,-36
M,-10,-36
AB,-5,-36
M,-33,-36
M,-29,-36
M,-28,-36
M,-14,-36
M,-41,-35
M,-74,-35
Y,-23,-35
M,-60,-35
M,-33,-35
M,-39,-35
M,-37,-35
M,-66,-35
M,-4,-35
Z,-97,-35
M,-33,-35
M,-28,-35
M,-26,-34
M,-11,-34
AB,-65.6,-34.3
M,-67,-34
M,-73,-34
M,-32,-34
M,-6,-34
M,-27,-34
M,107,-34
AB,-9,-34
M,-51,-34
M,-46,-34
M,-16,-34
M,-45,-33
M,-31,-33
M,-34,-33
M,-52,-33
Y,-56,-33
M,-53,-33
M,-42,-33
M,3,-33
M,-35.8,-32.9
Z,-92,-33
M,-24,-33
AB,-21,-33
Y,5,-33
M,-34,-33
M,-62,-33
M,-8,-33
M,5,-33
M,-16,-32
M,-15,-32
M,8,-32
M,-57,-32
M,-31,-32
M,12,-32
M,-43,-32
M,-56.6,-31.8
M,-14,-32
M,-12,-32
M,-18,-32
M,17,-32
M,-18,-31
M,39,-31
M,-74,-31
M,-22,-31
M,-14,-31
M,-13,-31
M,-15,-31
M,118,-31
M,4,-31
M,-27,-31
M,-42,-31
M,-67,-31
M,-6,-30
M,-60,-30
M,-37,-30
M,-39,-30
M,-11,-30
Z,-186,-30
M,-21,-30
M,-15,-30
M,24,-30
M,6,-30
M,29,-30
Y,-37,-30
M,-21,-30
M,-19,-30
M,-16,-29
M,-61,-29
M,-58,-29
M,-16,-29
M,-16,-29
M,9,-29
M,-2.02,-29.21
M,-20,-29
M,-29,-29
M,-27,-29
M,-77,-29
M,-26,-29
M,-126,-29
M,2,-29
M,4,-29
M,-2,-29
M,-45,-29
M,-37,-29
M,-6.8,-28.8
M,-67,-29
M,-6,-29
M,-27,-29
M,11,-28
M,-7,-28
M,-30,-28
M,37.6,-28.2
M,20,-28
M,-2,-28
M,-48,-28
M,26,-28
AB,22,-28
U,29,-28
M,-28,-28
M,-22,-28
M,31.3,-27.8
U,65,-28
M,-23,-28
M,32,-28
M,-31,-28
Z,-85,-28
M,-47,-28
M,-35,-28
M,-24,-28
M,-17,-28
M,-43,-28
M,-42,-27
M,-41,-27
M,-35,-27
M,-27,-27
M,10,-27
M,23,-27
M,-51,-27
AB,-32,-27
M,6,-27
AB,-12,-27
M,-7,-27
M,4,-26
M,-18,-26
AB,-70,-26
M,-23,-26
M,-13,-26
M,-46,-26
M,-22,-26
M,-37,-26
M,47,-26
AB,-22,-26
Z,-133,-26
M,-16,-26
M,-11,-26
M,-33,-26
M,-27,-26
M,-21,-26
M,-3,-26
M,-22,-26
M,-45,-26
AB,-36,-26
M,43,-26
M,-70,-25
Y,-47,-25
M,39,-25
M,-23,-25
M,-42,-25
M,-40,-25
M,-15,-25
M,-40,-25
AB,-38,-25
M,1,-25
M,10,-25
M,18,-25
M,-25,-25
M,-66,-25
AB,-17.0,-24.8
M,-17,-25
M,-8,-25
M,15,-25
Z,-79,-25
M,-51,-25
M,-24,-25
M,27,-25
M,-29,-25
M,-21,-24
M,-5,-24
M,-72,-24
AB,5,-24
M,22,-24
AB,-46,-24
M,66,-24
M,-56,-24
M,0,-24
M,-16,-24
M,-31,-24
M,3,-24
M,21,-24
M,-65,-24
M,40,-24
M,-33,-24
M,-55,-24
M,-33,-24
M,-7,-24
M,-11,-24
M,48,-24
M,13,-24
M,-42,-24
M,-39,-24
Z,-80,-23
M,-3,-23
M,57,-23
M,-30,-23
M,-30,-23
M,-69,-23
M,-14,-23
M,12,-23
M,49,-23
Y,9,-23
M,-53,-23
M,-18,-23
M,-16,-23
M,-16,-23
M,-6,-23
M,9,-23
M,17,-23
AB,17,-23
M,22,-23
M,-21,-23
M,-59,-23
Y,-9,-23
Z,-85,-23
M,-48,-23
M,-11,-23
Y,-3,-23
M,12,-23
M,7,-22
M,-19,-22
M,-11,-22
Y,-20,-22
M,-17,-22
M,-2,-22
M,-13,-22
M,-19,-22
M,-95,-22
M,-39,-22
M,-28,-22
M,-21,-22
M,0,-22
M,11,-22
M,15,-22
M,22,-22
M,-30,-22
M,-27,-22
M,1,-22
M,18,-22
M,-21,-22
M,-11,-22
M,33,-22
M,-73,-22
M,61,-22
Y,-37,-21
M,38,-21
M,-45,-21
M,-8,-21
M,16,-21
M,66,-21
Y,-31,-21
M,-23,-21
M,-51,-21
Z,-112,-21
M,-67,-21
M,-39,-21
AB,-23,-21
M,13,-21
AB,-17,-21
M,0,-21
M,-1,-21
AB,-33,-21
M,-6,-21
M,13,-21
M,-57,-21
M,-47,-21
M,-30,-21
M,-20,-21
M,-19,-21
M,10,-21
AB,30,-21
M,-17,-21
M,72,-21
M,-19,-21
AB,-70,-20
M,-18,-20
M,28,-20
AB,-27,-20
M,-13.6,-20.3
M,21,-20
M,-30,-20
M,-26,-20
M,7,-20
M,50,-20
M,-56,-20
M,28,-20
M,-8,-20
M,-64,-20
M,-9,-20
M,-41,-20
M,-24,-20
M,-26,-20
M,-29,-20
M,24,-20
M,11,-20
M,-31,-20
M,-44,-20
M,-13,-20
M,51,-20
M,-13,-20
AB,-32.51,-19.50
M,1,-19
M,-49,-19
M,45.1,-19.4
M,-28,-19
AB,3,-19
M,-61,-19
M,-12,-19
M,-8,-19
M,-46,-19
M,-30,-19
M,-19.4,-19.1
M,-60,-19
M,1,-19
Y,-38,-19
M,-22,-19
AB,3,-19
M,-36,-19
M,-43,-19
M,24,-19
U,8,-19
M,14,-19
M,-22,-19
Z,-72,-19
M,-24,-19
Y,-18,-19
M,-8.2,-18.5
M,-6,-18
M,-31,-18
M,-7,-18
M,4,-18
AB,3,-18
M,28,-18
M,-14,-18
M,-13,-18
M,1,-18
M,-28,-18
M,-52,-18
M,7,-18
M,17,-18
AB,-35,-18
M,-30,-18
AB,-20,-18
Y,-42,-18
M,-83,-18
M,-26,-18
M,-62,-18
M,-30,-18
M,31,-18
M,90,-17
M,-31,-17
M,-19,-17
Y,-6,-17
U,17,-17
M,-36,-17
M,-9,-17
X,200,-17
Z,-96,-17
M,-34,-17
M,-25,-17
M,-24,-17
M,-18,-17
M,-45,-17
AB,-20,-17
M,9,-17
U,24,-17
M,-148,-17
M,-81,-17
Y,-37,-17
M,-27,-17
Y,-6.6,-17.0
M,6,-17
M,45,-17
M,47,-17
M,-17.7,-16.9
M,-35,-17
M,8,-17
M,9,-17
M,18,-17
M,-30,-16
M,22,-16
M,-22,-16
M,-10,-16
M,25,-16
Y,-65,-16
M,-34.7,-16.3
M,-22,-16
M,-15,-16
AB,-27.7,-16.2
M,-44,-16
AB,-26,-16
M,-7,-16
M,0,-16
Y,-46,-16
Y,-43,-16
M,-43,-16
M,-34,-16
M,-1,-16
M,-39,-16
AB,-35,-16
M,-34,-16
AB,-33,-16
AB,-20,-16
M,-14,-16
M,12,-16
M,97,-16
M,5,-16
M,-35,-16
M,15,-16
M,9,-16
M,-32,-16
M,-14,-16
M,-38,-16
M,27,-16
M,29,-16
Z,-76,-16
M,-6,-15
M,39,-15
Y,-32,-15
AB,-20,-15
M,3,-15
M,15,-15
M,38,-15
M,-13,-15
M,-57,-15
M,-42,-15
M,-13,-15
M,-31,-15
M,-7,-15
AB,-8,-15
Z,-146,-15
AB,-7.9,-15.0
M,5,-15
M,-9,-15
M,-6,-15
M,-4,-15
M,-17,-15
M,-68,-15
M,-53,-15
M,35,-15
M,-49,-15
M,26,-15
M,0,-15
M,12,-15
M,-26,-15
M,26,-15
M,-27,-15
M,-12,-15
M,-15,-15
M,-14,-15
M,8,-15
M,-17,-15
M,-16,-15
M,-17,-14
X,-3.2,-14.5
U,38,-14
M,-21,-14
M,-8,-14
M,-7,-14
AB,8,-14
M,-45,-14
M,-35,-14
M,-17,-14
M,66,-14
AB,-42,-14
M,-3.1,-14.2
M,-3,-14
M,-7,-14
M,-64,-14
M,-50,-14
M,-32,-14
M,-28,-14
M,-11,-14
M,9,-14
M,22,-14
M,-31,-14
M,-25,-14
Z,-80,-14
AB,-36,-14
M,-10,-14
M,-64,-14
M,-53,-14
M,-7,-14
M,21,-14
M,-52,-14
M,-20,-14
AB,1,-14
M,-16,-14
M,-4,-14
M,-57,-14
AB,42.6,-13.5
M,-18,-13
M,-45,-13
M,-58,-13
M,-51,-13
AB,2,-13
M,12,-13
M,-8,-13
U,24,-13
M,-49,-13
M,-10,-13
M,-66,-13
M,-41,-13
AB,10,-13
M,-8,-13
AB,-22,-13
M,-61,-13
M,-12,-13
M,67,-13
M,-8,-13
M,-16,-13
AB,-19,-13
M,-47,-13
M,-43,-13
AB,-23,-13
M,24,-13
M,-57,-13
M,-21,-13
M,-68,-13
M,-37,-13
M,-2,-12
M,-46,-12
M,-29,-12
M,-7,-12
M,-4,-12
M,-22,-12
M,-7,-12
M,-6,-12
M,-9.1,-12.3
M,-43,-12
M,-36,-12
M,-29,-12
Y,-15,-12
M,9,-12
M,-28,-12
M,-33,-12
M,-29,-12
M,-19,-12
M,18,-12
M,-1,-12
M,-97,-12
AB,-27,-12
M,-23,-12
M,-20,-12
M,-9.6,-12.0
M,8,-12
M,15,-12
AB,-30,-12
M,-23,-12
M,-22,-12
M,0,-12
M,25,-12
M,-43,-12
AB,-21,-12
M,1,-12
M,9,-12
AB,9,-12
M,21,-12
M,-22,-12
M,6.7,-11.7
M,-2,-12
M,-31,-12
M,-13,-12
AB,4,-12
M,-25,-12
M,-12,-12
M,-2,-12
Y,2,-12
M,-6,-12
M,-11.7,-11.5
M,-21,-11
M,-3,-11
AB,13,-11
M,52,-11
M,-24,-11
M,-27,-11
M,-27,-11
M,-23,-11
M,-9.0,-11.1
Y,-8,-11
M,-16.9,-11.0
M,-10,-11
M,5,-11
M,25,-11
