PGD Type,Type,Grain Label,Meteorite,12C/13C,err+[12C/13C],err-[12C/13C]
M,M,M26a-165-2,Murchison,53.31,1.28,1.22
M,M,M26a-65-21,Murchison,53.30,1.66,1.56
M,M,SiC243,Murray,53.3,0.5,0.5
M,M,M08-422-3,Murchison,53.3,0.4,0.4
M,M,region3p2_2_1_4,Indarch,53.3,0.5,0.5
M,M,KJA1-1-6-9,Murchison,53.30,1.26,1.26
M,M,KJE-a2-11-12,Murchison,53.30,0.31,0.31
M,M,KJA1-1-12-1,Murchison,53.29,1.50,1.50
M,M,KJB2-11-24-4,Murchison,53.29,0.4,0.4
M,M,M7@4_5_1_mg_9,Murchison ,53.29,0.34,0.34
M,M,M7b@2_20_1_mg_6,Murchison ,53.29,0.69,0.69
M,M,M7b@2_23_1_mg_2,Murchison ,53.29,0.50,0.50
Z,Z,KJE-a1-22-7,Murchison,53.28,0.25,0.25
M,M,M33b-70-5,Murchison,53.28,1.33,1.27
M,M,M33b-15-9,Murchison,53.28,9.51,7.01
M,M,KJB2-13-30-3,Murchison,53.27,0.33,0.33
M,M,I46,Inman,53.3,7.0,7.0
M,M,M26a-284-17,Murchison,53.26,0.89,0.86
M,M,KJE279,Murchison,53.3,0.8,0.8
M,M,KJB2-3-13-1,Murchison,53.26,1.02,1.02
M,M,M7@14_70_1_mg_1,Murchison ,53.26,0.63,0.63
M,M,M7@15_39_1_mg_5,Murchison ,53.26,0.92,0.92
M,M,M26a-379-3,Murchison,53.25,2.66,2.42
M,M,M33b-135-10,Murchison,53.25,1.62,1.52
M,M,KJC158,Murchison,53.2,11.3,8.0
M,M,KJGN10-72-2,Murchison,53.24,0.37,0.37
M,M,KJA1-7-1-2,Murchison,53.24,0.82,0.82
M,M,KJE-a1-7-6,Murchison,53.23,0.28,0.28
M,M,Muri11B-3-3,Murchison,53.23,4.14,3.59
M,M,M33-74-17,Murchison,53.22,1.70,1.60
M,M,M26a-454-7,Murchison,53.22,1.74,1.63
M,M,M33b-3-5,Murchison,53.22,3.78,3.31
M,M,KJE-a2-1-34,Murchison,53.22,0.31,0.31
M,M,Muri11B-352-7,Murchison,53.22,1.37,1.30
M,M,M33b-192-2,Murchison,53.21,2.06,1.91
M,M,KJB2-13-36-17,Murchison,53.21,0.95,0.95
M,M,KJA1-6-12-8,Murchison,53.20,0.93,0.93
M,M,SiC235,Murray,53.2,0.9,0.9
M,M,M08-24,Murchison,53.2,0.3,0.3
M,M,KJH5-1m11,Murchison,53.20,1.51,1.51
M,M,M26a-68-6,Murchison,53.19,1.49,1.41
M,M,KJE731,Murchison,53.2,4.4,4.4
M,M,KJB2-J-3,Murchison,53.19,4.53,4.53
M,M,M26a-93-20,Murchison,53.18,1.36,1.30
M,M,M26a-144-4,Murchison,53.18,1.28,1.22
M,M,M26a-288-3,Murchison,53.18,2.23,2.06
M,M,KJA1-1-2-1,Murchison,53.18,1.04,1.04
M,M,KJE438,Murchison,53.2,2.8,2.8
M,M,KJB2-8-5-12,Murchison,53.17,1.65,1.65
M,M,M26a-414-5,Murchison,53.17,1.21,1.16
M,M,M7@12_2_1_mg_9,Murchison ,53.17,0.92,0.92
M,M,M7@14_51_1_mg_2,Murchison ,53.17,1.63,1.63
M,M,M26a-423-2,Murchison,53.16,1.59,1.50
M,M,KJE141,Murchison,53.2,3.9,3.9
M,M,WF_6#7.2,Murchison ,53.16,0.53,0.53
M,M,M10B-2-3,Murchison,53.15,3.03,2.72
M,M,M26a-142-9,Murchison,53.15,0.99,0.95
M,M,KJGN10-50-10,Murchison,53.15,0.37,0.37
M,M,WF_3#3.3,Murchison ,53.15,0.56,0.56
M,M,KJH7-302,Murchison,53.14,0.87,0.87
M,M,M26a-45-9,Murchison,53.14,1.43,1.36
M,M,M8-8-2,Murchison,53.14,1.21,1.16
M,M,M26a-56-4,Murchison,53.13,7.16,5.64
M,M,T16,Tieschitz,53.1,2.4,2.4
M,M,M26a-49-21,Murchison,53.13,1.96,1.83
M,M,KJH5-2m11,Murchison,53.13,0.80,0.80
M,M,KJE-a1-27-1,Murchison,53.12,0.24,0.24
M,M,KJE-a2-12-1,Murchison,53.12,0.28,0.28
M,M,KJE695,Murchison,53.1,3.2,3.2
M,M,M8-9-16,Murchison,53.12,0.60,0.58
M,M,WF_6#15.8,Murchison ,53.12,1.05,1.05
M,M,WF_1#1.1,Murchison ,53.11,0.41,0.41
M,M,Muri11B-475-1,Murchison,53.11,0.65,0.64
M,M,Muri11B-301-3,Murchison,53.11,1.98,1.84
M,M,M7@4_5_1_mg_5,Murchison ,53.11,0.69,0.69
M,M,M42-165-2,Murchison,53.10,1.40,1.33
M,M,KJE773,Murchison,53.1,3.2,3.2
M,M,Org-515,Orgueil,53.10,0.35,0.35
M,M,region2_12_1_7,Indarch,53.1,0.4,0.4
M,M,region2_16_1_8,Indarch,53.1,0.3,0.3
M,M,M26a-18-1,Murchison,53.10,2.09,1.94
M,M,KJA1-4-12-1,Murchison,53.10,1.04,1.04
M,M,KJE-a2-33-8,Murchison,53.09,0.27,0.27
M,M,M26a-389-4,Murchison,53.09,2.44,2.23
M,M,WF_4#8.19,Murchison ,53.08,0.86,0.86
M,M,Muri11B-45-4,Murchison,53.08,1.34,1.28
M,M,M26a-117-9,Murchison,53.08,1.47,1.39
M,M,M26a-93-19,Murchison,53.08,1.95,1.82
M,M,M7@4_4_1_mg_6,Murchison ,53.08,0.41,0.41
M,M,M7@8_8_1_mg_25,Murchison ,53.08,0.66,0.66
M,M,M7b@2_28_1_mg_2,Murchison ,53.08,0.77,0.77
M,M,KJE-a1-25-26,Murchison,53.07,0.26,0.26
M,M,M26a-392-11,Murchison,53.06,1.07,1.03
M,M,KJE-a1-10-5,Murchison,53.06,0.26,0.26
M,M,WF_3#23.3,Murchison ,53.06,0.52,0.52
M,M,KJA1-4-19-3,Murchison,53.06,1.27,1.27
M,M,Muri11B-210-2,Murchison,53.05,1.81,1.69
M,M,KJC178,Murchison,53.1,5.2,4.3
M,M,M7@8_33_1_mg_4,Murchison ,53.05,0.70,0.70
M,M,M7@14_1_1_mg_15,Murchison ,53.05,0.65,0.65
M,M,M7b@2_72_1_mg_3,Murchison ,53.05,0.63,0.63
M,M,KJH4-m134,Murchison,53.05,0.93,0.93
M,M,M26a-237-3,Murchison,53.05,1.16,1.11
M,M,WF_1#1.2,Murchison ,53.04,0.71,0.71
M,M,M33b-238-5,Murchison,53.03,1.46,1.39
M,M,Muri11B-318-1,Murchison,53.03,0.68,0.66
M,M,KJB2-13-35-14,Murchison,53.03,0.62,0.62
M,M,KJGN10-04-1,Murchison,53.03,0.27,0.27
M,M,M33b-217-3,Murchison,53.03,1.26,1.20
M,M,KJE147,Murchison,53.0,2.2,2.2
M,M,#a31,Murchison,53.0,0.1,0.1
M,M,KJB2-N-7,Murchison,53.02,2.63,2.63
M,M,M26a-56-22,Murchison,53.02,1.79,1.67
M,M,M7@4_5_1_mg_3,Murchison ,53.02,1.20,1.20
M,M,M7@15_36_1_mg_2,Murchison ,53.02,0.51,0.51
M,M,M7b@1_3_1_mg_44,Murchison ,53.02,0.73,0.73
M,M,KJC161,Murchison,53.0,7.1,5.6
M,M,M33b-106-1,Murchison,53.01,1.53,1.44
M,M,WF_6#24.11,Murchison ,53.00,1.37,1.37
Z,Z,KJE-a2-6-13,Murchison,53.00,0.33,0.33
M,M,Org-583,Orgueil,53.0,1.5,1.5
M,M,KJB2-2-6-4,Murchison,53,1.15,1.15
M,M,region2_17_1_10,Indarch,53,0.4,0.4
M,M,region4again_8_1_3,Indarch,53,0.4,0.4
M,M,M33c-298-10,Murchison,53.00,1.06,1.02
M,M,WF_3#17.2,Murchison ,53.00,0.39,0.39
M,M,KJE380,Murchison,53.0,1.3,1.3
M,M,M7@8_6_1_mg_22,Murchison ,52.99,1.25,1.25
Z,Z,M7@14_53_1_mg_2,Murchison ,52.99,1.12,1.12
M,M,M7@15_4_1_mg_4,Murchison ,52.99,0.55,0.55
M,M,M7b@3_57_1_mg_2,Murchison ,52.99,1.10,1.10
M,M,KJGN10-17-1,Murchison,52.99,0.37,0.37
M,M,KJH10-651,Murchison,52.99,0.91,0.91
M,M,M26a-72-3,Murchison,52.99,1.53,1.44
M,M,M26a-18-3,Murchison,52.98,1.07,1.03
M,M,KJE418,Murchison,53.0,1.3,1.3
M,M,M7@8_26_1_mg_4,Murchison ,52.96,0.94,0.94
M,M,KJB2-8-5-17,Murchison,52.96,2.88,2.88
M,M,M26a-294-3,Murchison,52.96,1.49,1.41
M,M,LS+LU-L2-43,Murchison,52.95,0.28,0.28
M,M,KJA1-4-30-3,Murchison,52.95,1.91,1.91
M,M,Muri11B-188-2,Murchison,52.94,1.51,1.42
M,M,WF_5#12.6,Murchison ,52.94,0.51,0.51
M,M,M42-66-3,Murchison,52.94,5.35,4.45
Z,Z,M7@8_10_1_mg_10,Murchison ,52.93,2.00,2.00
M,M,M7b@1_4_1_mg_12,Murchison ,52.93,1.00,1.00
M,M,M7b@1_6_1_mg_5,Murchison ,52.93,2.37,2.37
M,M,M7b@2_4_1_mg_10,Murchison ,52.93,1.25,1.25
M,M,KJB2-7-3-5,Murchison,52.93,0.55,0.55
M,M,KJE080,Murchison,52.9,1.5,1.5
M,M,KJE388,Murchison,52.9,1.3,1.3
M,M,M26a-93-7,Murchison,52.91,1.29,1.23
M,M,M9,Murchison,52.9,0.6,0.6
M,M,T11,Tieschitz,52.9,1.9,1.9
M,M,M26a-312-3,Murchison,52.91,1.48,1.40
M,M,M26a-130-11,Murchison,52.91,1.96,1.83
M,M,M33-97-11,Murchison,52.91,1.69,1.59
M,M,M33b-176-3,Murchison,52.91,2.69,2.44
M,M,M33c-257-1,Murchison,52.90,1.97,1.83
M,M,M26a-164-9,Murchison,52.90,1.48,1.40
M,M,Org-454,Orgueil,52.9,0.7,0.7
M,M,Org-483,Orgueil,52.90,0.65,0.65
M,M,KJG-CHRL108-166-2,Murchison,52.9,0.4,0.4
M,M,KJB2-3-16-1,Murchison,52.9,1.28,1.28
M,M,region3_18_1_12,Indarch,52.9,0.3,0.3
M,M,region4again_10_1_13,Indarch,52.9,0.5,0.5
M,M,KJH8-661,Murchison,52.90,0.85,0.85
M,M,KJC136,Murchison,52.9,6.7,5.3
M,M,KJE-a1-16-7,Murchison,52.89,0.25,0.25
M,M,M26a-393-2,Murchison,52.89,2.19,2.02
X,X,M33-97-15,Murchison,52.89,3.59,3.16
M,M,KJE-a1-7-2,Murchison,52.88,0.25,0.25
M,M,WF_3#2.12,Murchison ,52.88,0.69,0.69
M,M,M42-148-1,Murchison,52.88,0.72,0.70
M,M,WF_2#13.14,Murchison ,52.88,0.42,0.42
M,M,M42-126-3,Murchison,52.87,5.05,4.24
Z,Z,KJA1-4-22-3,Murchison,52.87,1.34,1.34
M,M,KJE659,Murchison,52.9,3.8,3.8
M,M,KJB2-8-9-4,Murchison,52.87,0.48,0.48
M,M,M33c-284-1,Murchison,52.87,0.93,0.90
M,M,M26a-85-28,Murchison,52.84,1.47,1.39
M,M,M7b@2_29_1_mg_8,Murchison ,52.84,0.53,0.53
Z,Z,M7b@3_63_1_mg_11,Murchison ,52.84,0.96,0.96
M,M,WF_2#7.3,Murchison ,52.84,0.63,0.63
M,M,M26a-56-13,Murchison,52.84,1.70,1.60
M,M,M26a-336-2,Murchison,52.84,1.77,1.66
Z,Z,KJE-a1-20-11,Murchison,52.82,0.25,0.25
M,M,M26a-282-3,Murchison,52.82,1.58,1.49
M,M,M26a-89-10,Murchison,52.82,1.67,1.57
M,M,WF_5#15.8,Murchison ,52.82,0.50,0.50
M,M,M26a-220-5,Murchison,52.82,1.06,1.02
M,M,M26a-119-14,Murchison,52.81,1.76,1.65
M,M,LS+LU-L2-34,Murchison,52.81,0.32,0.32
M,M,KJH8-062,Murchison,52.81,1.81,1.81
M,M,LS+LU-19,Murchison,52.80,0.31,0.31
M,M,M08-340,Murchison,52.8,0.6,0.6
M,M,M42-148-2,Murchison,52.79,0.78,0.76
M,M,KJC168,Murchison,52.8,5.2,4.3
M,M,KJA1-1-12-13,Murchison,52.79,1.57,1.57
M,M,KJG4-#29,Murchison,52.79,1.47,1.47
M,M,M7@14_27_1_mg_2,Murchison ,52.79,0.77,0.77
M,M,M7b@3_10_1_mg_1,Murchison ,52.79,1.44,1.44
Z,Z,M7b@3_41_1_mg_23,Murchison ,52.79,0.31,0.31
M,M,M42-6-2,Murchison,52.78,1.33,1.27
M,M,KJE719,Murchison,52.8,1.6,1.6
M,M,KJB2-8-8-2,Murchison,52.78,0.69,0.69
M,M,Muri11B-267-3,Murchison,52.77,1.39,1.32
M,M,KJB2-C-4,Murchison,52.77,1.42,1.42
M,M,M26a-145-12,Murchison,52.77,1.15,1.11
M,M,KJE-a1-16-14,Murchison,52.76,0.25,0.25
M,M,KJB2-3-23-15,Murchison,52.76,0.72,0.72
M,M,KJA1-1-3-12,Murchison,52.76,0.71,0.71
M,M,WF_1#2.3,Murchison ,52.76,0.72,0.72
M,M,M7@14_9_1_mg_2,Murchison ,52.76,1.11,1.11
M,M,KJE-a1-3-8,Murchison,52.75,0.24,0.24
M,M,KJB2-11-15-4,Murchison,52.75,0.81,0.81
M,M,KJGN10-05-2,Murchison,52.75,0.26,0.26
M,M,C3-08,Murchison,52.75,0.54,0.54
M,M,KJE-a2-9-11,Murchison,52.75,0.26,0.26
M,M,Muri11B-3-5,Murchison,52.74,5.50,4.55
M,M,M26a-391-1,Murchison,52.74,1.20,1.15
M,M,Muri11B-196-1,Murchison,52.73,0.69,0.67
M,M,KJB2-3-4-3,Murchison,52.73,0.86,0.86
Z,Z,KJB2-13-1-10,Murchison,52.73,0.47,0.47
M,M,M7@14_28_1_mg_10,Murchison ,52.73,0.56,0.56
M,M,KJA1-2-10-7,Murchison,52.72,2.40,2.40
M,M,M26a-95-3,Murchison,52.72,2.14,1.98
M,M,KJE-a1-6-15,Murchison,52.72,0.25,0.25
M,M,KJH5-502,Murchison,52.71,1.01,1.01
M,M,Org-533,Orgueil,52.7,0.3,0.3
M,M,reg4p2_22_1_4,Indarch,52.7,0.7,0.7
M,M,region3_24_1_3,Indarch,52.7,0.3,0.3
M,M,region5p1_17_1_2,Indarch,52.7,0.5,0.5
M,M,M7@12_2_1_mg_7,Murchison ,52.70,1.10,1.10
M,M,M7@14_17_1_mg_3,Murchison ,52.70,1.06,1.06
M,M,M7b@3_63_1_mg_5,Murchison ,52.70,0.72,0.72
M,M,C3-16,Murchison,52.69,0.54,0.54
M,M,KJB2-8-7-4,Murchison,52.69,0.72,0.72
M,M,WF_6#20.10,Murchison ,52.69,1.05,1.05
M,M,M33b-209-2,Murchison,52.68,0.83,0.81
M,M,KJB2-13-34-8,Murchison,52.67,0.26,0.26
M,M,M7b@3_29_1_mg_17,Murchison ,52.67,0.72,0.72
M,M,Muri11B-46-1,Murchison,52.67,0.68,0.66
M,M,KJE117,Murchison,52.7,3.3,3.3
M,M,M26a-30-4,Murchison,52.66,1.58,1.49
M,M,I61,Inman,52.7,3.5,3.5
M,M,KJE437,Murchison,52.7,1.7,1.7
M,M,KJH4-311,Murchison,52.66,0.76,0.76
M,M,KJE-a2-9-14,Murchison,52.66,0.31,0.31
M,M,M33-71-21,Murchison,52.65,1.84,1.72
M,M,KJB2-3-16-11,Murchison,52.65,1.54,1.54
M,M,M33c-290-2,Murchison,52.65,3.48,3.07
M,M,M26a-343-1,Murchison,52.65,2.20,2.03
M,M,KJH3-373,Murchison,52.65,0.59,0.59
M,M,LS+LU-21,Murchison,52.65,0.34,0.34
M,M,M7@14_36_1_mg_9,Murchison ,52.64,0.62,0.62
M,M,KJE-a1-15-17,Murchison,52.64,0.25,0.25
M,M,KJB2-11-6-9,Murchison,52.63,1.08,1.08
M,M,KJC023,Murchison,52.6,5.0,4.2
M,M,KJE-a2-8-16,Murchison,52.63,0.33,0.33
M,M,M33-85-13,Murchison,52.62,8.05,6.17
M,M,B20,Bishunpur,52.6,1.3,1.3
M,M,WF_3#17.6,Murchison ,52.61,0.37,0.37
M,M,M7@14_4_1_mg_12,Murchison ,52.61,1.18,1.18
M,M,M7@15_9_1_mg_3,Murchison ,52.61,0.34,0.34
M,M,Muri11B-467-1,Murchison,52.61,0.68,0.66
M,M,M33c-289-2,Murchison,52.61,1.21,1.15
M,M,M26a-146-9,Murchison,52.60,4.62,3.93
M,M,M08-2-11,Murchison,52.6,0.3,0.3
M,M,M08-22,Murchison,52.6,0.3,0.3
M,M,M33b-135-13,Murchison,52.60,3.25,2.89
M,M,KJA1-1-7-12,Murchison,52.60,1.13,1.13
M,M,Muri11B-19-2,Murchison,52.60,1.77,1.66
M,M,KJG4-#27,Murchison,52.59,1.03,1.03
M,M,E2-09,Murchison,52.58,0.54,0.54
M,M,M26a-295-5,Murchison,52.58,1.09,1.04
M,M,M33b-215-4,Murchison,52.57,1.09,1.05
M,M,KJB2-3-5-1,Murchison,52.57,1.15,1.15
M,M,M42-86-1,Murchison,52.57,0.66,0.64
M,M,M10B-8-4,Murchison,52.57,4.75,4.02
M,M,KJB2-13-25-1,Murchison,52.56,0.12,0.12
M,M,Muri11B-448-1,Murchison,52.56,0.77,0.75
M,M,KJH3-362,Murchison,52.56,0.57,0.57
M,M,WF_3#20.4,Murchison ,52.56,0.54,0.54
M,M,Muri11B-84-2,Murchison,52.56,1.13,1.09
M,M,KJE-a1-25-17,Murchison,52.56,0.26,0.26
M,M,M26a-188-1,Murchison,52.56,1.15,1.10
M,M,M7b@1_10_1_mg_6,Murchison ,52.55,0.35,0.35
M,M,Muri11B-103-2,Murchison,52.54,2.46,2.25
M,M,KJB2-7-5-6,Murchison,52.54,0.81,0.81
M,M,KJB2-8-3-1,Murchison,52.54,0.45,0.45
M,M,M33b-157-2,Murchison,52.53,1.46,1.38
Z,Z,M26a-177-1,Murchison,52.53,1.60,1.50
M,M,WF_2#4.12,Murchison ,52.53,0.47,0.47
M,M,KJE875,Murchison,52.5,3.1,3.1
M,M,M33b-132-2,Murchison,52.53,1.79,1.67
M,M,M26a-125-2,Murchison,52.52,1.49,1.41
M,M,KJE294,Murchison,52.5,2.7,2.7
M,M,KJC005,Murchison,52.5,6.4,5.2
M,M,KJE278,Murchison,52.5,1.3,1.3
M,M,KJH9-431,Murchison,52.51,1.05,1.05
M,M,M26a-123-15,Murchison,52.51,0.88,0.85
M,M,Muri11B-183-3,Murchison,52.51,1.56,1.48
M,M,M26a-170-8,Murchison,52.51,1.84,1.72
M,M,K31,Krymka,52.5,0.4,0.4
M,M,KJE810,Murchison,52.5,2.1,2.1
M,M,MB-5b4,ALHA77307,52.5,0.9,0.9
M,M,region2_4_1_11,Indarch,52.5,0.5,0.5
M,M,region2_12_1_3,Indarch,52.5,0.4,0.4
M,M,M7@4_10_1_mg_3,Murchison ,52.50,0.67,0.67
M,M,M7@10_2_1_mg_22,Murchison ,52.50,0.25,0.25
M,M,M7@14_13_1_mg_10,Murchison ,52.50,1.13,1.13
M,M,M7@14_39_1_mg_10,Murchison ,52.50,2.07,2.07
M,M,KJE442,Murchison,52.5,2.0,2.0
M,M,KJB2-H-5,Murchison,52.49,2.57,2.57
M,M,I53,Inman,52.5,6.9,6.9
M,M,LS+LU-L2-40,Murchison,52.49,0.25,0.25
M,M,KJB2-8-1-8,Murchison,52.48,2.11,2.11
M,M,KJB2-11-11-7,Murchison,52.48,0.68,0.68
M,M,Muri11B-177-2,Murchison,52.48,2.85,2.57
M,M,M26a-278-20,Murchison,52.47,1.95,1.82
M,M,KJB2-2-2-11,Murchison,52.47,0.85,0.85
M,M,KJB2-2-2-12,Murchison,52.47,1.18,1.18
M,M,M7@14_6_1_mg_4,Murchison ,52.47,1.59,1.59
M,M,KJC014,Murchison,52.5,7.5,5.9
M,M,M10B-21-7,Murchison,52.46,0.96,0.93
M,M,M26a-78-9,Murchison,52.45,3.37,2.98
M,M,KJA1-4-1-2,Murchison,52.45,0.61,0.61
M,M,KJB2-8-8-4,Murchison,52.45,0.89,0.89
M,M,M33b-168-9,Murchison,52.44,1.83,1.71
M,M,M26a-276-1,Murchison,52.44,1.04,1.00
M,M,KJE-a1-48-6,Murchison,52.43,0.25,0.25
M,M,M26a-229-5,Murchison,52.43,1.03,0.99
M,M,Muri11B-483-7,Murchison,52.43,1.51,1.43
M,M,M26a-135-5,Murchison,52.42,0.98,0.94
