PGD Type,Type,Grain Label,Meteorite,12C/13C,err+[12C/13C],err-[12C/13C]
M,M,KJE267,Murchison,52.4,2.5,2.5
M,M,M26a-85-21,Murchison,52.41,1.30,1.24
M,M,M7@14_23_1_mg_8,Murchison ,52.41,0.67,0.67
M,M,M7b@3_43_1_mg_5,Murchison ,52.41,0.75,0.75
M,M,Org-47,Orgueil,52.40,0.35,0.35
M,M,Org-574,Orgueil,52.4,0.4,0.4
M,M,KJB2-3-18-16,Murchison,52.4,1.45,1.45
M,M,region4again_4_1_5,Indarch,52.4,0.5,0.5
M,M,KJE-a1-4-6,Murchison,52.40,0.31,0.31
M,M,M26a-270-5,Murchison,52.39,1.54,1.46
M,M,KJE511,Murchison,52.4,2.2,2.2
M,M,KJE-a2-22-2,Murchison,52.39,0.31,0.31
M,M,KJG2-042,Murchison,52.39,0.61,0.61
M,M,M26a-167-4,Murchison,52.39,2.36,2.17
M,M,KJG2-041,Murchison,52.39,0.48,0.48
M,M,M26a-126-19,Murchison,52.39,1.19,1.14
M,M,Muri11B-48-1,Murchison,52.38,0.86,0.83
M,M,M7@8_30_1_mg_3,Murchison ,52.38,0.90,0.90
M,M,M7@15_9_1_mg_1,Murchison ,52.38,0.37,0.37
M,M,M33b-185-2,Murchison,52.38,1.75,1.64
M,M,KJE660,Murchison,52.4,1.4,1.4
M,M,KJE747,Murchison,52.4,10.1,10.1
M,M,KJB2-3-16-7,Murchison,52.38,1.5,1.5
M,M,KJB2-13-31-9,Murchison,52.38,0.64,0.64
M,M,M26a-74-6,Murchison,52.38,1.25,1.19
M,M,M42-27-2,Murchison,52.38,0.78,0.76
M,M,M26a-275-3,Murchison,52.37,1.47,1.39
M,M,KJC121,Murchison,52.4,3.2,2.9
M,M,KJB2-11-24-2,Murchison,52.36,0.65,0.65
M,M,KJA1-6-8-3,Murchison,52.36,3.03,3.03
M,M,KJH10-LR11,Murchison,52.36,0.93,0.93
M,M,E4-04,Murchison,52.35,0.54,0.54
M,M,M7b@3_40_1_mg_4,Murchison ,52.35,0.66,0.66
M,M,M26a-141-14,Murchison,52.35,5.04,4.23
M,M,KJB2-3-12-14,Murchison,52.35,0.74,0.74
M,M,KJE-a1-27-4,Murchison,52.35,0.26,0.26
M,M,WF_4#2.4,Murchison ,52.35,1.12,1.12
M,M,M33b-130-5,Murchison,52.34,2.07,1.92
M,M,WF_4#8.11,Murchison ,52.34,0.93,0.93
M,M,KJE367,Murchison,52.3,1.4,1.4
M,M,Muri11B-103-7,Murchison,52.34,0.94,0.91
M,M,M26a-68-13,Murchison,52.34,2.18,2.01
M,M,M33-79-14,Murchison,52.34,2.95,2.65
M,M,M42-160-3,Murchison,52.34,1.70,1.59
M,M,B4-09,Murchison,52.33,0.54,0.54
M,M,KJE400,Murchison,52.3,2.0,2.0
M,M,M26a-135-1,Murchison,52.33,0.93,0.90
M,M,KJE904,Murchison,52.3,2.4,2.4
M,M,KJB2-8-8-8,Murchison,52.33,0.65,0.65
M,M,KJB2-9-3-4,Murchison,52.33,0.59,0.59
Z,Z,M7@8_36_1_mg_4,Murchison ,52.32,1.04,1.04
M,M,KJA1-3-7-6,Murchison,52.32,1.59,1.59
M,M,M42-184-3,Murchison,52.32,2.37,2.17
M,M,Muri11B-378-4,Murchison,52.31,2.25,2.07
M,M,M26a-32-2,Murchison,52.31,2.73,2.47
M,M,WF_3#20.7,Murchison ,52.31,0.58,0.58
M,M,KJB2-2-7-16,Murchison,52.31,1.25,1.25
M,M,KJGN10-56-4,Murchison,52.31,0.36,0.36
M,M,KJGN10-57-6,Murchison,52.31,0.36,0.36
M,M,KJE-a1-16-19,Murchison,52.31,0.32,0.32
M,M,KJE-a1-20-1,Murchison,52.31,0.24,0.24
M,M,M26a-277-3,Murchison,52.31,2.37,2.18
M,M,M26a-315-8,Murchison,52.30,0.98,0.94
M,M,G3-04,Murchison,52.30,0.54,0.54
Z,Z,Oct-16-9-4,Indarch,52.3,1.2,1.2
M,M,KJB2-4-1-1,Murchison,52.3,0.72,0.72
M,M,KJB2-14-15-5,Murchison,52.3,0.89,0.89
