Type,carbon_isotopes,silicon_isotopes
M,19.25,17
M,19.25,31
M,19.26,64.5
M,19.3,19.2
M,19.29,15
M,19.30,10
M,19.3,38
M,19.31,12
M,19.32,33
M,19.33,31
M,19.33,50
M,19.34,16
M,19.34,59
M,19.35,70
M,19.35,61
M,19.37,1
M,19.39,-10
M,19.39,38
M,19.40,19
M,19.41,121
M,19.42,54
M,19.43,72
M,19.44,30
M,19.45,36
M,19.5,102
M,19.55,64
M,19.56,40
M,19.57,42
M,19.57,44
M,19.60,48
M,19.63,17
M,19.65,65
M,19.68,35
M,19.69,37
M,19.70,38
M,19.71,56
M,19.7,50.6
M,19.73,34
M,19.74,53
M,19.77,26
M,19.78,72
M,19.8,42
M,19.84,32
M,19.85,-22
M,19.87,89
M,19.88,28
M,19.89,94
M,19.9,15.3
M,19.9,106
M,19.93,42
M,19.93,46
M,19.94,-15
M,19.98,16
M,19.99,13
AB,20,90
M,20.01,86
M,20.02,20
M,20.03,60
M,20.04,35
M,20.06,61
M,20.06,53
M,20.07,35
M,20.08,-10
M,20.09,27.8
M,20.11,39
M,20.19,53
M,20.19,-2
M,20.2,41
M,20.23,13
M,20.25,15
M,20.27,58
M,20.28,9
M,20.30,63
M,20.3,-35
M,20.30,41
M,20.32,-9
M,20.33,21
M,20.34,31
M,20.36,-20
M,20.38,99
M,20.39,48
M,20.41,30
M,20.47,22
Z,20.47,-84
M,20.50,-21
M,20.50,-10
M,20.5,22.2
M,20.55,43
M,20.58,-7
M,20.62,30
M,20.64,-7
M,20.65,32
M,20.66,-32
M,20.66,102
M,20.67,29
M,20.71,101
M,20.71,50
M,20.77,6
M,20.78,25
M,20.80,-8
M,20.8,-3
M,20.81,8
M,20.83,142
M,20.85,-1
M,20.91,8
M,20.98,51
X,20.99,-66
M,21.01,99
M,21.01,33
M,21.03,26
M,21.05,51
M,21.06,33
M,21.1,-24.5
M,21.07,31
M,21.08,10
M,21.08,62
M,21.11,111
M,21.13,-5
M,21.14,6
M,21.14,47
M,21.17,-17
M,21.23,65
M,21.23,40
M,21.26,-15
M,21.33,39
M,21.36,76
M,21.36,63
M,21.37,34
X,21.4,-343
M,21.41,37
M,21.44,-31
M,21.52,71
M,21.53,14
M,21.56,40
M,21.57,38
M,21.60,-28
M,21.64,74
M,21.65,71
M,21.66,-18
M,21.67,11
M,21.68,-6
M,21.69,19
M,21.69,97
M,21.7,90
M,21.75,48
M,21.76,52
M,21.78,-66
M,21.79,1
M,21.79,31
M,21.79,89
M,21.79,31
M,21.79,7
M,21.80,23
M,21.8,-31
M,21.8,68.6
X,21.82,-445.4
M,21.83,42
M,21.84,-27
M,21.85,5
M,21.89,53
M,21.90,96
M,21.91,3
M,21.95,27
Z,21.95,-78
M,21.98,3
M,22.0,143
