Type,carbon_isotopes,silicon_isotopes
M,42.30,119
M,42.30,156
M,42.30,39
M,42.30,-1
M,42.3,1
M,42.30,87.8
M,42.31,4
M,42.32,132
M,42.32,41
M,42.32,29
M,42.32,35
M,42.32,70
M,42.3,59.2
M,42.33,31
M,42.33,50
M,42.34,37
M,42.35,44
M,42.35,-18
M,42.37,14
M,42.37,24
M,42.38,13
M,42.38,52
M,42.38,-12
M,42.38,39
M,42.39,18
M,42.4,80
M,42.40,44
M,42.41,12
M,42.41,-18
M,42.42,49
M,42.42,6
M,42.44,14
M,42.44,41
M,42.45,181
M,42.45,43
M,42.45,33
M,42.46,43
M,42.46,72
M,42.46,55
M,42.46,23
M,42.46,63
M,42.47,31
M,42.47,-7
M,42.48,50
M,42.48,-23
M,42.5,83.2
M,42.48,87
M,42.48,43
M,42.48,-3
M,42.50,75
M,42.50,6
M,42.5,25
M,42.51,31
M,42.52,23
M,42.52,92
M,42.52,32
M,42.52,17
M,42.53,-13
Z,42.53,-10
M,42.54,40
M,42.55,39
M,42.55,24
M,42.55,66
M,42.55,22
M,42.56,46
M,42.56,72
M,42.57,-16
M,42.57,12
Z,42.57,-38
M,42.58,38
M,42.58,22
M,42.6,105.0
Z,42.6,-65
M,42.6,16
M,42.61,0
M,42.62,90
M,42.63,30
M,42.63,-72
M,42.64,46
M,42.65,25
M,42.65,69
M,42.65,129
M,42.65,45
M,42.65,153
M,42.65,-55
M,42.66,66
M,42.66,190
M,42.66,9
M,42.66,33
M,42.7,-20.6
M,42.69,-22
M,42.69,164
M,42.69,58
M,42.69,-53
M,42.7,45.1
M,42.69,22
M,42.69,51
M,42.70,2
M,42.72,173
M,42.72,62
M,42.72,42
M,42.72,83
M,42.73,46
M,42.7,153.2
M,42.74,60
M,42.7,68.9
X,42.8,-152
M,42.75,38
M,42.76,27
M,42.76,3
M,42.77,-34
M,42.77,34
M,42.78,203
M,42.79,27
M,42.79,72
M,42.80,101.7
M,42.81,-27
M,42.82,12
M,42.82,56
M,42.82,2
M,42.82,33
M,42.83,8
M,42.83,111
M,42.84,47
M,42.8,178.9
Z,42.84,-69
M,42.84,66
M,42.86,28
M,42.87,54
M,42.87,18
M,42.88,67
M,42.88,48
M,42.89,101
M,42.9,97
M,42.9,101
M,42.90,75
M,42.90,23
M,42.91,21
M,42.91,12
M,42.91,-6
M,42.91,6
M,42.92,19
M,42.92,73
M,42.93,22
M,42.94,53
M,42.94,20
M,42.95,142
M,42.96,180
M,42.96,85
M,42.96,19
M,42.97,23
M,42.97,10
M,43.0,99.4
M,42.97,-7
M,42.99,60
M,43.00,30
Z,43.00,-110
M,43.02,9
M,43.05,19
M,43.06,38
M,43.1,141.8
M,43.06,50
M,43.06,49
M,43.08,19
M,43.09,40
M,43.09,15
M,43.09,41
M,43.1,32
M,43.10,15
M,43.10,42
M,43.11,31
M,43.11,44
M,43.11,61
M,43.11,110
M,43.12,57
M,43.14,50
M,43.15,-23
Z,43.15,-46
M,43.15,145
M,43.17,20
M,43.18,27
M,43.18,42
M,43.19,48
M,43.19,32
M,43.19,40
M,43.19,-24
M,43.19,20
M,43.19,2
M,43.19,69
M,43.19,66
Z,43.2,-22.6
M,43.20,76.0
M,43.2,140
M,43.23,-3
M,43.23,21
M,43.24,53
M,43.24,28
M,43.26,26
M,43.26,147
M,43.27,0
M,43.28,88
M,43.29,22
M,43.29,18
M,43.29,73
M,43.3,51
M,43.3,98
M,43.30,-28
M,43.31,39
M,43.31,54
M,43.32,40
M,43.32,-67
M,43.33,60
M,43.34,59
M,43.34,-21
M,43.34,10
M,43.34,5
M,43.35,65
Z,43.36,-35
M,43.37,0
M,43.38,58
M,43.38,33
M,43.39,66
X,43,-361
M,43.41,125
M,43.42,30
M,43.43,47
M,43.44,38
M,43.44,-4
M,43.45,-75
M,43.46,50
M,43.5,62.0
M,43.46,-26
M,43.46,-72
M,43.47,27
M,43.5,104.2
M,43.5,104.2
M,43.47,-7
M,43.47,35
M,43.48,25
M,43.48,27
M,43.48,6
M,43.49,30
M,43.49,19
M,43.50,110
M,43.50,40
M,43.50,37
M,43.50,-69
M,43.5,125
M,43.51,33
M,43.51,32
M,43.52,37
M,43.52,54
M,43.52,7
M,43.53,58
M,43.53,8
M,43.53,31
M,43.54,83
M,43.54,102
M,43.54,-22
M,43.56,12
M,43.57,49
M,43.57,34
M,43.58,104
M,43.60,3
M,43.60,6
M,43.6,5
M,43.6,43
M,43.60,19
M,43.60,30
M,43.62,2
M,43.62,10
M,43.62,-23
M,43.63,12
M,43.63,47
M,43.63,25
M,43.63,20
M,43.65,54
M,43.65,36
M,43.65,40
M,43.65,43
M,43.66,137
M,43.66,80
M,43.66,51
M,43.67,32
Z,43.68,-44
M,43.69,87
M,43.69,41
M,43.70,39
M,43.70,102
M,43.7,-23
M,43.70,46
M,43.70,45
M,43.71,150
M,43.72,51
M,43.72,26
M,43.72,57
M,43.73,179
M,43.73,60
M,43.7,65.8
M,43.73,-12
M,43.74,-20
M,43.76,55
M,43.76,0
M,43.77,137
X,43.78,-100
M,43.78,36
M,43.79,160
M,43.80,59
M,43.8,32.5
M,43.8,67
M,43.8,103
M,43.8,114.2
M,43.80,38
M,43.81,17
M,43.81,18
M,43.82,-49
M,43.82,38
M,43.82,43
M,43.83,-46
M,43.83,7
M,43.84,101
M,43.8,47.5
M,43.84,30
M,43.85,33
M,43.85,46
M,43.86,23
M,43.86,-22
M,43.86,17
X,43.9,-448
M,43.86,59
M,43.87,34
M,43.87,-2
M,43.88,58
M,43.88,95
M,43.88,35
M,43.89,4
M,43.89,21
M,43.89,23
X,43.9,-105
M,43.9,44
M,43.9,58
M,43.91,24
M,43.91,33
M,43.91,94
M,43.92,45
M,43.92,25
Z,43.9,-134.0
Z,43.92,-50
M,43.9,27.0
M,43.93,38
M,43.93,68
M,43.93,126
M,43.94,26
M,43.94,17
M,43.94,46
M,43.95,47
Z,43.96,-85
M,43.96,-51
M,43.96,129
M,43.96,137
M,43.96,203
M,43.97,18
M,43.97,35
M,43.97,125
M,43.98,19
M,43.99,34
M,43.99,9
M,43.99,49
M,44.00,-62
M,44,-20
M,44.00,13
M,44.00,24
M,44.00,120.0
M,44.00,30
M,44.01,25
M,44.01,35
M,44.02,57
M,44.02,-56
M,44.02,109
M,44.03,45
M,44.04,-27
M,44.04,32
M,44.05,7
M,44.05,22
M,44.06,34
M,44.06,45
M,44.07,59
M,44.07,49
M,44.08,-20
M,44.08,4
M,44.09,34
M,44.09,10
M,44.09,42
M,44.09,53
M,44.10,-14
M,44.10,88
M,44.1,25.3
M,44.1,38
M,44.10,73
M,44.12,12
M,44.12,32
M,44.12,35
M,44.12,127
M,44.13,20
M,44.14,77
M,44.14,18
M,44.14,84
M,44.14,-42
M,44.15,-41
M,44.15,92
M,44.16,9
M,44.2,147.3
M,44.16,6
M,44.17,71
M,44.17,5
M,44.18,-14
M,44.18,92
M,44.2,70.4
Z,44.19,-65
M,44.2,34
M,44.20,18
M,44.20,39
M,44.20,64
M,44.21,2
M,44.22,83
M,44.22,34
M,44.22,13
M,44.22,16
M,44.23,59
M,44.23,56
M,44.2,6.2
M,44.24,118
M,44.24,58
M,44.25,-40
M,44.26,21
M,44.26,27
M,44.26,103
M,44.27,38
M,44.27,18
M,44.28,40
M,44.28,3
M,44.29,58
Z,44.3,-29
M,44.3,-17
M,44.30,-21
M,44.31,85
M,44.31,14
M,44.32,15
M,44.33,-55
M,44.33,90
M,44.33,-3
M,44.34,107
M,44.34,-13
M,44.35,3
M,44.35,54
M,44.37,50
M,44.37,95
M,44.38,22
M,44.39,-1
M,44.39,40
M,44.39,-5
M,44.40,12
M,44.40,19
M,44.4,82.0
Z,44.4,-76
M,44.4,61
M,44.4,81
M,44.40,67
M,44.40,44
M,44.4,110.6
M,44.41,-41
M,44.41,53
M,44.41,80
M,44.41,30
M,44.42,26
M,44.42,24
M,44.4,8.9
M,44.4,83.5
M,44.43,58
M,44.43,-8
M,44.4,81.4
M,44.44,42
M,44.45,117
M,44.5,-19.2
M,44.5,53.1
M,44.46,75
M,44.47,128
M,44.5,-27.8
M,44.48,75
M,44.48,48
M,44.49,41
M,44.50,6
M,44.5,19
M,44.50,70.4
M,44.51,192
M,44.52,7
M,44.52,-14
M,44.53,41
M,44.54,25
M,44.54,-9
M,44.55,-4
M,44.55,37
M,44.55,-3
M,44.56,20
M,44.56,-46
M,44.56,44
M,44.56,-43
M,44.57,-66
M,44.57,99
Z,44.58,16
M,44.58,18
M,44.58,77
M,44.58,-20
M,44.59,102
M,44.59,-67
M,44.59,89
M,44.59,31
M,44.59,59
M,44.60,93
M,44.6,70
M,44.6,82
M,44.61,62
M,44.61,59
M,44.62,57
M,44.63,23
M,44.63,-12
M,44.63,112.68
M,44.63,32
M,44.7,-32.0
M,44.65,115
M,44.66,50
M,44.66,5
M,44.66,17
M,44.68,74
M,44.68,79
M,44.69,52.66
M,44.69,117
Z,44.69,-45
M,44.70,2
M,44.70,80
M,44.71,41
M,44.71,18
M,44.72,93
M,44.72,107
Z,44.72,-60
M,44.72,-25
M,44.72,-26
M,44.73,60
M,44.73,99
M,44.73,-8
M,44.73,50
M,44.73,36
M,44.74,49
M,44.74,46
M,44.74,-58
M,44.74,-27
M,44.74,12
M,44.75,40
M,44.76,113
M,44.76,117
M,44.76,-48
M,44.76,98
M,44.77,-6
M,44.77,92
M,44.78,56
M,44.78,-50
M,44.78,31
M,44.79,14
M,44.79,124
M,44.80,-58
M,44.82,65
M,44.82,68
M,44.82,106
M,44.83,48
M,44.83,-40
M,44.83,42
M,44.84,20
M,44.84,-27
M,44.84,15
M,44.84,21
M,44.84,-17
M,44.85,108
M,44.85,20
M,44.85,42
M,44.85,-7
M,44.85,-22
M,44.85,72
M,44.86,100
M,44.86,36
M,44.86,63
M,44.86,75
M,44.9,70.5
M,44.9,50.1
M,44.88,25
M,44.88,111.91
M,44.88,121
Z,44.89,-80
M,44.89,101
M,44.89,40
Z,44.89,-75
M,44.89,2
M,44.90,98
M,44.90,17
Z,44.9,33
M,44.90,89.2
M,44.91,33
M,44.91,74
M,44.91,67
M,44.91,59
M,44.92,5
M,44.92,-30
M,44.94,57
M,44.95,5
M,44.95,-3
M,44.96,6
M,45.0,52.1
M,44.97,22
M,44.97,35
Z,44.97,5
M,44.97,49
M,44.98,43
M,44.99,55
M,44.99,99
M,44.99,100
M,45.00,17
M,45.00,40
Z,45,-23
M,45.0,-11.7
M,45,98
M,45.00,29
M,45.01,48
M,45.01,59
M,45.02,86
M,45.02,49
M,45.0,51.5
M,45.03,49
M,45.03,64
M,45.03,17
M,45.04,30
M,45.04,60
M,45.0,53.0
M,45.07,51
M,45.07,18
M,45.09,75
M,45.09,45
M,45.10,36
M,45.1,-53
M,45.10,0.7
M,45.1,36
M,45.1,156
M,45.10,38
M,45.12,60
M,45.1,66.6
M,45.13,-4
M,45.14,42
M,45.14,125
M,45.15,30
M,45.15,167
Z,45.15,-60
M,45.16,18
M,45.16,50
Z,45.16,-133
M,45.16,56
M,45.17,17
M,45.17,39
M,45.18,40
M,45.19,57
M,45.2,-35.8
M,45.19,32
M,45.20,38
M,45.20,115.53
M,45.21,18
M,45.21,-45
M,45.22,12
M,45.23,-35
M,45.24,42
M,45.24,-6
M,45.2,190.6
M,45.25,3
M,45.25,33
M,45.3,141
M,45.26,28
M,45.26,52
M,45.26,150
M,45.28,18
Z,45.29,3
M,45.29,61
M,45.29,81
M,45.30,34
X,45.3,-180
M,45.3,14
M,45.3,92.9
M,45.3,101
M,45.3,108
M,45.30,44
M,45.30,37
M,45.31,39
M,45.32,28
M,45.32,22
M,45.33,10
M,45.33,53
M,45.34,14
M,45.3,111.0
M,45.34,7
M,45.34,35
M,45.35,19
M,45.36,71
M,45.36,59
M,45.36,42
M,45.37,116
Z,45.38,-57
M,45.38,-16
M,45.38,1
M,45.39,72
M,45.39,52
M,45.40,17
M,45.40,-47
M,45.40,53
M,45.41,39
M,45.42,20
M,45.4,52.6
M,45.42,52
M,45.42,-26
M,45.42,36
M,45.44,65
M,45.44,40
M,45.44,-3
M,45.44,23
M,45.45,41
M,45.45,38
M,45.45,40
M,45.46,79
M,45.46,6
M,45.46,140
M,45.46,29
M,45.46,41
M,45.48,67
M,45.48,85
M,45.48,26
M,45.48,15
M,45.48,-62
M,45.49,30
M,45.50,35
M,45.50,52
M,45.5,-18.2
M,45.50,17
M,45.50,-6
M,45.51,42
M,45.51,28
M,45.52,38
M,45.52,28
M,45.52,43
M,45.52,1
M,45.53,81
M,45.53,37
M,45.53,78
M,45.53,55
M,45.54,29
M,45.55,50
M,45.55,55
M,45.55,57
M,45.57,11
M,45.58,51
M,45.59,4
M,45.61,1
M,45.61,48
M,45.61,36
M,45.61,-41
M,45.61,35
M,45.62,84
M,45.62,69
M,45.62,19
M,45.63,40
M,45.6,-1.6
M,45.63,19
M,45.63,23
M,45.64,72
M,45.64,125
M,45.64,21.41
M,45.65,0
M,45.65,9
M,45.66,48
M,45.66,64
M,45.67,7
M,45.67,57
M,45.68,-22
M,45.69,39
M,45.69,75
M,45.70,27
M,45.70,-20
M,45.7,6
Z,45.7,10
M,45.7,28
M,45.7,53
M,45.7,61
M,45.70,45
M,45.70,53
M,45.71,-23
M,45.71,32
M,45.71,95
M,45.72,7
M,45.72,-30
M,45.72,30
M,45.72,34
Z,45.72,-112
M,45.73,28
M,45.73,24
M,45.74,70
M,45.74,8
M,45.74,16
Z,45.75,-77
M,45.75,46
M,45.76,111
M,45.76,66
M,45.77,11
M,45.77,128
M,45.78,128
M,45.79,10
M,45.79,71
M,45.79,63
M,45.8,28
M,45.82,39
M,45.82,50
M,45.82,-13
M,45.82,132
M,45.83,80
M,45.83,-70
M,45.84,24
M,45.85,37
M,45.86,55
M,45.86,30
M,45.87,72
M,45.87,40
M,45.87,-49
M,45.88,76
Z,45.88,-48
M,45.89,20
M,45.90,39
M,45.9,50
M,45.9,62.8
M,45.9,63
M,45.90,83
M,45.90,52
M,45.91,-5
M,45.91,58
M,45.91,70
M,45.91,15
M,45.92,36.85
M,45.92,34
M,45.9,45.7
M,45.93,42
M,45.94,90.96
M,45.94,84
M,45.94,6
M,45.9,64.0
M,45.95,62
M,45.96,62
M,45.96,59
M,45.96,118
M,45.97,53
M,45.97,48
M,45.97,24
M,45.98,130
M,45.98,75
M,45.98,81
M,45.99,41
M,45.99,-16
M,45.99,29
M,46.00,-10
M,46.00,26
Z,46,-26
M,46,60
M,46.00,70
M,46.00,12
M,46.01,35
M,46.01,39
M,46.01,133
M,46.02,27
M,46.02,38
M,46.02,22
M,46.02,35
M,46.03,114
M,46.03,162
M,46.03,140
M,46.03,160
M,46.03,64
M,46.04,25
M,46.04,40
M,46.05,-14
M,46.05,56
M,46.05,5
M,46.05,18
M,46.06,39
M,46.06,40
M,46.06,43
M,46.06,-25
M,46.07,48
M,46.08,23
M,46.08,79
M,46.1,39.5
M,46.09,89
M,46.10,65
M,46.10,78
M,46.10,88
Z,46.10,-69.0
M,46.1,162.3
Z,46.10,-107
M,46.11,15
M,46.11,80
M,46.13,79
M,46.13,63
M,46.14,-10
M,46.14,132.30
M,46.14,94
M,46.14,38
M,46.14,3
M,46.14,36
M,46.15,-18
M,46.16,99
M,46.16,8
M,46.20,-28
Z,46.2,-51.9
M,46.20,47
M,46.21,53
M,46.2,47.7
M,46.22,64
M,46.22,66
M,46.2,145.6
M,46.22,27
M,46.23,20
M,46.23,-14
M,46.23,-8
M,46.23,25
M,46.23,51
M,46.24,69
M,46.25,66
M,46.25,152
M,46.25,33
M,46.26,40
M,46.26,89
M,46.27,35.51
M,46.28,-16
M,46.28,27
M,46.28,54
M,46.29,-18
M,46.29,46
M,46.30,34
Z,46.3,-59.0
M,46.3,-8
M,46.30,54
M,46.31,29
M,46.31,59
M,46.31,41
M,46.32,-37
M,46.32,89
M,46.3,-29.4
M,46.32,-7
M,46.33,59
M,46.33,107
M,46.34,42
M,46.34,103
M,46.35,67
M,46.35,55
M,46.35,16
M,46.36,-30
M,46.36,86
M,46.36,82.38
M,46.37,34
M,46.37,-25
M,46.37,-29
M,46.37,44
M,46.37,49
M,46.37,22
M,46.38,84
M,46.38,123
M,46.4,42.5
M,46.38,9
U,46.39,203
M,46.39,-27
M,46.39,31
M,46.39,42
M,46.39,-1
M,46.39,40
M,46.39,96
M,46.4,-13
Z,46.4,45
M,46.4,98
M,46.41,-5
M,46.41,88
M,46.41,21
Z,46.42,-60
M,46.43,50
M,46.43,54
M,46.4,99.9
M,46.44,-15
M,46.44,23
M,46.45,22
M,46.45,74
M,46.46,33
M,46.46,47
M,46.47,41
M,46.47,8
M,46.47,-78
M,46.47,73
M,46.48,154
M,46.48,10
M,46.48,-12
M,46.48,39
M,46.49,78
M,46.5,148.6
M,46.49,51
M,46.50,62
M,46.5,-69
Z,46.5,-2
M,46.5,122
M,46.5,133
M,46.50,54
M,46.50,63
M,46.51,11
M,46.52,90
M,46.52,-34
Z,46.5,-114.0
M,46.53,32
M,46.53,18
M,46.53,100
M,46.53,40
M,46.54,69
M,46.54,-36
M,46.54,12
M,46.55,-10
M,46.55,93
M,46.55,82
M,46.55,29
M,46.55,-5
M,46.56,8
M,46.57,99
M,46.57,100
M,46.57,31
M,46.58,62
M,46.58,30
M,46.6,66.3
M,46.59,77.81
M,46.59,62
M,46.60,-54
M,46.6,12.8
M,46.6,42
M,46.6,59
M,46.60,104
M,46.61,48
M,46.61,21
M,46.61,-13
M,46.61,0
M,46.61,46
M,46.62,77
M,46.62,15
M,46.62,-6
M,46.62,112
M,46.62,43
M,46.63,17
M,46.63,28
M,46.63,-13
M,46.64,27
M,46.64,20
M,46.64,4
M,46.64,126
M,46.64,53
M,46.66,14
M,46.66,-32
M,46.66,40
M,46.66,10
M,46.67,116
M,46.67,29
M,46.67,12
M,46.67,-43
Z,46.68,-61
M,46.69,41
M,46.70,45
M,46.70,78
M,46.7,144.4
M,46.71,81
M,46.71,16
M,46.72,26
M,46.72,43
M,46.74,87
M,46.75,-17
M,46.75,59
M,46.75,-31
M,46.75,-6
M,46.75,87
M,46.77,53
M,46.77,30
M,46.78,21
M,46.8,55.9
M,46.78,-12
M,46.79,-23
M,46.80,-71
M,46.80,46
M,46.80,33
M,46.80,-12
Z,46.8,-62.0
M,46.8,57
M,46.8,138
M,46.80,64
M,46.81,10
M,46.81,100
M,46.81,-73
M,46.83,43
M,46.84,69
M,46.84,32
M,46.85,33
M,46.85,28
M,46.85,58
M,46.87,93
M,46.88,91
M,46.89,49
M,46.89,41
M,46.89,83
M,46.89,105
M,46.9,139.4
M,46.90,5
M,46.9,32
M,46.9,44
M,46.90,54
M,46.90,32
M,46.91,98
M,46.91,32
M,46.91,63
M,46.91,75
M,46.93,12
M,46.93,-77
M,46.93,56
M,46.95,-29
M,46.96,19
M,46.96,72
M,46.97,-12
M,46.97,58
M,46.97,100
M,46.98,-17
M,46.98,3
M,46.99,17
M,46.99,87
M,46.99,106
M,46.99,67
M,46.99,42
M,47.00,9
Z,47,-90
Z,47,-75
M,47.0,128
M,47.00,53
M,47.00,35
M,47.00,45
M,47.00,63
M,47.00,87
M,47.01,40
M,47.01,-15
M,47.01,35
M,47.01,27
M,47.01,19
M,47.02,105
M,47.02,132
M,47.03,96
M,47.03,99
M,47.03,30
Z,47.0,-104.2
M,47.04,45
M,47.04,-7
M,47.0,37.6
M,47.05,-59
M,47.05,21
M,47.05,88
M,47.06,29
M,47.06,-3
M,47.06,39
M,47.06,22
M,47.07,36
M,47.07,7
M,47.07,117
M,47.08,-13
M,47.08,1
M,47.08,68
M,47.08,83
M,47.1,95.5
M,47.08,25
M,47.1,148.7
M,47.10,-5
M,47.10,-1
M,47.10,-41
M,47.1,32
M,47.1,33
M,47.10,56
M,47.11,46
M,47.11,-7
M,47.11,57
M,47.11,39
M,47.12,97
M,47.13,-19
M,47.13,143
M,47.14,39
M,47.14,-70
M,47.14,-33
M,47.14,-13
M,47.14,99
M,47.15,24
M,47.15,7
M,47.15,13
M,47.15,27
M,47.15,107
M,47.16,33
M,47.17,-2
M,47.17,-33
M,47.2,35.3
M,47.17,12
M,47.19,30
Z,47.19,-75
M,47.19,-37
M,47.20,34
Z,47.20,-38
M,47.20,81
M,47.20,1
M,47.2,14
M,47.2,49
M,47.2,60
M,47.2,65.4
M,47.21,14
M,47.2,96.9
M,47.21,-61
Z,47.2,-121.0
M,47.22,2
M,47.22,27
M,47.23,18
M,47.23,26
M,47.23,40
M,47.24,73
M,47.24,108
M,47.24,58
M,47.24,91
M,47.24,-9
M,47.24,-20
M,47.25,29
M,47.3,2.0
M,47.26,18
M,47.27,75
M,47.28,21
X,47.28,-200
M,47.28,12
M,47.28,14
M,47.28,60
M,47.29,40
M,47.30,130
M,47.30,-1
M,47.30,75
M,47.31,20
M,47.31,72
M,47.31,-20
M,47.31,81
M,47.31,120
M,47.31,-21
M,47.31,129
M,47.31,-17
M,47.32,13
M,47.33,66
M,47.33,-2
M,47.3,48.8
M,47.34,58
Z,47.34,-32
M,47.35,82
M,47.4,116.2
M,47.35,24
M,47.4,107.1
M,47.36,0
M,47.36,22
M,47.36,8
M,47.37,-6
M,47.37,118.01
M,47.37,31
M,47.38,-46
M,47.38,-14
M,47.38,54
M,47.38,24
M,47.39,28
M,47.39,43
M,47.39,70
Z,47.40,-77
M,47.40,-26
M,47.4,0.9
M,47.4,20
M,47.4,29
M,47.4,36
M,47.4,54
M,47.4,91
M,47.40,112
M,47.41,82
M,47.42,95
M,47.42,23
M,47.42,112
M,47.4,86.9
M,47.43,5
M,47.43,76
M,47.43,21
M,47.43,65
M,47.44,22
M,47.45,35
M,47.45,75
M,47.46,49
M,47.5,56.3
M,47.46,68
M,47.46,7
M,47.5,32.3
M,47.47,12
M,47.49,1
Z,47.49,-80
M,47.5,45
M,47.5,57
M,47.5,64
M,47.5,67
M,47.50,128.3
M,47.50,85
M,47.51,25
M,47.51,37
M,47.51,-12
M,47.52,-8
M,47.52,13
M,47.53,28
M,47.53,86
M,47.54,32
M,47.54,56
M,47.55,66
M,47.55,43
M,47.6,63.1
M,47.55,33
M,47.56,16
M,47.56,77
M,47.56,33
M,47.56,35
M,47.56,75
M,47.56,-29
M,47.56,27
M,47.57,34
M,47.58,29
M,47.58,48
M,47.59,-1
M,47.6,29.1
M,47.60,48
M,47.6,69
M,47.60,143
M,47.60,90
M,47.61,25
M,47.61,46
M,47.61,-48
M,47.61,64
M,47.61,35
M,47.62,3
M,47.62,32
M,47.62,43
M,47.62,74
M,47.63,60
M,47.63,43
M,47.64,25
M,47.64,74
M,47.64,129
M,47.64,-3
M,47.65,34
M,47.66,74
M,47.66,8
M,47.66,19
M,47.67,15
M,47.68,48.1
M,47.68,105
M,47.70,3
M,47.70,-12
M,47.7,-7
M,47.70,132
M,47.71,20
M,47.71,33
M,47.71,28
M,47.71,-29
M,47.71,57
M,47.72,63
M,47.72,80
M,47.72,29
M,47.72,-41
M,47.73,81
M,47.74,146
M,47.74,81
M,47.74,44
M,47.75,58
M,47.75,-6
M,47.75,28
M,47.76,17
M,47.76,59
M,47.76,-45
M,47.76,45
M,47.77,121
M,47.78,9
M,47.8,111.6
M,47.78,97
M,47.78,7
M,47.78,33
M,47.79,38
M,47.79,161
M,47.79,-3
M,47.8,-71.1
M,47.79,28
M,47.79,49
M,47.8,-17.3
M,47.80,70
M,47.8,38
M,47.80,-7
M,47.80,124
M,47.81,-37
M,47.81,25
M,47.82,98
M,47.82,38
M,47.83,-80
M,47.83,36
M,47.84,-17
M,47.84,62
M,47.84,80
M,47.84,61
M,47.85,36
M,47.85,-5
M,47.85,38
M,47.85,20
M,47.86,14
M,47.86,47.3
M,47.86,-27
M,47.88,50
M,47.88,25
M,47.88,-28
M,47.88,67
M,47.89,11
M,47.90,131
M,47.9,57
M,47.9,76
M,47.90,35
M,47.92,-42
M,47.92,54
M,47.92,99
M,47.92,71
M,47.92,3
M,47.92,24
M,47.93,81
M,47.93,4
M,47.94,67
M,47.94,17
M,47.95,11
M,47.95,33
M,47.95,112
Z,47.96,-27
M,47.96,12
M,48.0,24.3
M,47.97,83
M,47.97,-94
Z,47.97,-74
M,47.97,39
M,47.97,114
M,47.98,119
M,47.98,-26
M,47.98,19
M,47.99,88
M,47.99,53
M,47.99,14
M,48,51
M,48,55
M,48.00,59
M,48.00,5
M,48.01,-38
M,48.01,34
M,48.01,73
M,48.02,40
M,48.03,109
M,48.0,77.3
M,48.03,107
M,48.03,53
M,48.04,32
M,48.04,74
M,48.05,58
M,48.05,25
M,48.05,115
M,48.05,112
M,48.05,59
M,48.1,76.1
M,48.06,29
M,48.06,29
M,48.07,22
M,48.07,30
M,48.07,49
M,48.08,56
M,48.09,-54
M,48.1,122.5
X,48.1,-211
M,48.1,-56.6
M,48.10,58
M,48.11,51
M,48.11,88
M,48.11,58
Z,48.11,-92
M,48.13,-45
M,48.13,41
M,48.14,-24
M,48.14,38
M,48.1,23.6
M,48.14,-10
M,48.15,16
M,48.1,-10.7
M,48.15,70
M,48.15,3
M,48.16,10
M,48.16,59
M,48.16,-10
M,48.16,1
M,48.16,19
M,48.17,-13
M,48.17,27
M,48.18,54
M,48.19,45
M,48.19,56
M,48.19,127
M,48.20,68
M,48.20,71
M,48.2,-55
M,48.2,11
M,48.2,36
M,48.2,53
M,48.20,38
M,48.20,65
M,48.21,111
M,48.21,-21
M,48.21,99
M,48.21,55
M,48.22,22
M,48.22,89
M,48.22,41
M,48.23,58
M,48.23,24
M,48.23,94
M,48.23,95
M,48.24,70
M,48.25,-25
M,48.25,49
M,48.25,22
M,48.26,40
M,48.26,1
M,48.26,76
M,48.26,61
M,48.26,81
M,48.28,87
M,48.28,29
M,48.28,44
M,48.28,9
M,48.28,-19
Z,48.28,-3
M,48.28,56
M,48.29,94
M,48.29,31
M,48.30,21
M,48.30,78
M,48.31,29
M,48.31,55
M,48.31,67
M,48.31,24
M,48.31,31
M,48.31,88
M,48.32,105
M,48.32,64
M,48.32,46
M,48.3,38.4
M,48.33,40
M,48.33,45
M,48.34,17
M,48.34,74
M,48.34,45
M,48.34,9
M,48.35,51
M,48.36,46
M,48.37,56
M,48.38,42.8
M,48.38,98
M,48.38,15
M,48.38,117
M,48.39,57
M,48.40,32
Z,48.4,-124
M,48.4,22
M,48.4,83
M,48.4,43.6
M,48.40,137.44
M,48.40,4
M,48.41,-39
M,48.41,17
M,48.41,28
M,48.41,-32
M,48.42,-21
M,48.42,45
M,48.42,21
M,48.43,49
M,48.43,40.5
M,48.45,-31
M,48.45,110
M,48.45,42
M,48.45,67
M,48.46,-62
M,48.46,-45
M,48.46,154
M,48.5,33.9
M,48.46,-44
M,48.47,102
M,48.47,45
M,48.48,23
M,48.48,86
M,48.48,33
M,48.48,68
M,48.48,84
M,48.48,7
M,48.49,49
M,48.49,31
M,48.5,-92
M,48.5,63
M,48.5,140
M,48.50,-24
M,48.51,17
M,48.51,-45
M,48.51,87
M,48.51,95
M,48.52,-27
M,48.52,23
M,48.52,4
Z,48.52,-59
M,48.52,92
M,48.53,68.09
M,48.53,117
M,48.54,39
M,48.54,30
M,48.54,6
M,48.54,26
M,48.54,36
M,48.54,306
M,48.54,39
M,48.55,48
M,48.55,23
M,48.56,17
M,48.56,44.2
M,48.56,41
M,48.56,72
M,48.57,-16
Z,48.57,-129
M,48.58,6
M,48.58,-21
M,48.58,1
M,48.58,92
M,48.59,42.9
M,48.59,60
M,48.59,5
M,48.59,78
M,48.59,7
M,48.60,105
M,48.60,-22
M,48.60,78
M,48.60,-3
M,48.60,86
M,48.61,68
M,48.61,95
M,48.62,66
M,48.62,27
M,48.63,45
M,48.63,70
M,48.63,116
M,48.64,35.9
M,48.64,5
M,48.64,-11
M,48.64,104
M,48.64,8
