Type,carbon_12_13,nitrogen_14_15,silicon_29_28,silicon_30_28
Y,151,1401,-7.4,69
AB,3.15,109,-7,19
Y,153.44,838,-7,60
M,89.1,290,-7,-12
Y,124,2039,-6.3,28.0
M,26.53,1686,-6,12
AB,3.05,265,-6,0
M,58.22,2011,-6,14
AB,6.89,4487,-6,29
M,94.15,907,-5.9,24.7
AB,5.81,851.92,-5.64,16.40
AB,8.820,1792,-5.6,26.5
AB,6.33,473,-6,42
Y,161.51,2962,-5,47
M,27.0,1753,-5.0,17.3
AB,3.41,114,-5,10
M,22.5,229,-5,-6
M,88.87,267,-5,2
M,93.46,286,-4.3,-0.6
M,93.27,281,-4.2,-7.4
AB,2.90,97,-4,14
AB,3.59,99,-4,-4
N,8.4,13.7,-4,149
M,53.3,1499,-4,14
M,95.48,2833,-4,27
M,10.29,1416,-4,-1
Y,108.38,1313,-4,23
M,93.17,261,-3.5,-1.6
X,49,64,-3.2,-14.5
AB,2.97,577,-3,5
M,72.88,521,-3,38
AB,4.42,1567,-3,46
M,52,3003,-3,3
M,91.42,2444,-3,30
M,92.2,1437,-3,16
Y,128.43,749,-3,6
M,93.17,288,-2.8,-3.2
Y,162,2093,-2.8,63.7
AB,3.24,178,-3,8
M,92.88,248,-2.2,-2.5
M,78.55,2397.27,-2.02,-29.21
AB,2.92,109,-2,12
AB,6.13,971,-2,29
AB,7.37,516.87,-2,38
M,25.18,1233,-2,19
M,52.16,528.79,-2,76
M,93.37,269,-2.0,-3.8
Y,105.6,970,-2,37
Y,121.8,1412,-1.6,35.7
M,62.9,816,-1,50
Y,161.47,419,-1,60
M,92.40,296,-1.2,-3.8
AB,6.94,3205,-1,47
AB,8.82,10107,-1,21
M,42.30,4196,-1,32
M,52.25,3893,-1,31
M,65.7,1849,-1,22
M,91.83,282,-0.7,3.2
M,92.98,276,-0.7,-3.9
AB,9.0,649,0,26
AB,5.11,1031.52,0,4
AB,5.87,5741,0,23
AB,6.06,819,0,34
AB,7.03,6669,0,37
M,58.55,1339,0,27
M,59.7,2136,0,13
M,63.77,1076.7,0,-5
M,49.22,346,1,19
Y,117.12,534,1,25
M,47.4,5348,0.9,11.8
AB,5.97,313,1,18
AB,3.87,141,1,13
AB,4.25,122,1,5
M,45.61,893,1,20
M,49.18,769.14,1,-101
M,57.86,430.2,1,-49
M,91.55,284,1.0,-1.1
M,91.83,317,1.1,3.1
Y,121.9,555,1,85
AB,2.31,118,2,28
M,54.2,1367,2,6
Y,106,1309,2.3,52
M,87.58,772,3,36
M,90.7,326,2.7,0.1
M,80.74,3003,3,29
M,92.88,292,2.9,-6.0
M,93.56,268,2.9,0.1
M,62.29,1099,3,41
M,92.98,289,3.0,2.9
M,68.3,407,3.2,-2.2
M,90.9,289,3.5,4.7
AB,5.83,649.5,4,13
AB,6.15,842,4,39
AB,6.23,819,4,41
M,90.14,951,4,32
M,66.28,793.18,5,-46
M,87.35,2849,5,29
AB,4.0,154,5,16
AB,11.27,2143.63,5.60,23.16
M,68.16,1041.68,5.60,23.46
AB,2.57,90,6,15
AB,3.04,99,6,6
AB,3.20,58,6,22
AB,6.89,614.25,6,53
AB,8.80,1471,6,41
M,22.56,453.48,6,-6
M,68.55,1385,7,43
M,86.4,859,6.8,28.5
Z,69.64,1180,7,223
M,47.07,985,7,7
AB,3.25,132,7,42
AB,6.66,1452,7,46
AB,8.76,1940,7,36
M,49.8,430,7,19
Y,175.18,4954,8,78
AB,4.04,136,8,31
M,37.10,789,8,37
M,89.83,1640,8,38
Y,157,691,8.0,87.0
Y,119.69,890,9,48
Y,102,1238,8.9,39.2
AB,1.94,78,9,31
AB,7.87,420,9,21
M,35.7,474,9,-14
M,50.97,1895.09,9,-23
M,83.22,786.73,9,32
M,90.44,290,9.1,8.0
M,88.7,471,9.3,23.7
Y,125,3240,10,42
M,90.8,287,10.1,11.1
Z,45.7,282,10,113
M,73.20,648,11,27
M,80.07,1171.49,12.65,13.45
M,46.6,3891,12.8,34.8
AB,3.26,56,13,54
AB,3.46,270.95,13,11
M,22.44,918,13,39
M,58.66,735,13,28
M,91.18,2645,13,42
AB,8.31,2171,14,19
M,49.1,2176,14,13
M,59.54,906.96,14,12
M,86.77,1008,14,49
M,55.30,3356,14.2,25.9
M,57.30,3472,14.2,33.1
M,74.9,658,14,-48
M,84.06,2394,15,14
Y,122,920,14.6,69
M,56.13,812,15,27
AB,4.54,3602,15,-4
AB,4.87,110,15,24
M,49.75,431,15,43
M,58.27,880,15,48
Z,49.68,521,16,178
M,62.64,543,16,20
M,73.34,2101,16,32
M,63.5,515,16,29
M,60.75,718.71,16,-80
M,83.68,1835,16,58
Y,154,1146,16.0,62.0
M,54.33,209,17,6
M,45.03,921,17,43
AB,2.22,79,17,39
AB,4.62,4127,17,-2
AB,6.22,175.33,17,-23
M,84.68,476,17,33
M,72.31,701,17,24
M,74.97,926,18,50
AB,2.74,347,18,9
AB,11.1,516,18,46
M,73.3,794,18,25
AB,5.45,243,18,11
AB,4.43,158,18.3,170.8
M,60.34,569.88,19,-100
M,85.02,1047,19,18
M,31.26,2149,19,-3
M,54.17,214,19,23
M,71.88,2960.81,19.51,16.40
M,52.30,1090.57,19.89,21.69
AB,1.88,67,20,33
AB,6.53,3677,20,9
M,92.4,1388,20,47
M,56.47,1383,20,12
M,91.03,1480,21,20
AB,1.96,80,21,31
AB,3.11,296,21,33
AB,9.9,502,21,54
M,45.64,587.08,21.41,31.70
Z,75.00,5208,21.5,62.3
M,61.22,597,22,45
M,77.3,3745,21.9,31.0
M,52.29,824.51,22,-23
M,74.31,2082,22,43
M,37.9,2451,22.5,23.5
Y,123,2275,22.9,79.6
AB,2.37,138,23,29
AB,2.71,305,23,42
AB,4.77,3140,23,4
M,61.66,869.24,23,-27
M,71.68,655.34,23,44
M,74.5,884,23,31
Y,295,1994,23.0,171.7
Y,258.22,529,23,135
M,74.3,558,23.3,27.9
M,57.47,5356.11,23.51,34.35
M,37.8,1067,23.7,37.4
M,73.85,2364.70,23.89,41.70
M,52.75,2473,24,36
M,53.2,2170,24,43
M,57.03,494.54,24,-30
M,70,1681,24,52
M,75.16,1284,24,47
M,68.41,1871,24,44
AB,4.69,2950,25,16
M,44.88,705.34,25,66
M,51.91,417.63,25,112
M,66.35,4454,25,46
Y,120,3378,25.2,66.2
M,81.35,1371,25,43
AB,3.48,1422,26,28
M,65.38,1036.33,26,-28
M,72.03,1111,26,45
M,84.1,2160,26.4,56.4
M,68.33,788,27,38
AB,3.72,259.39,27,-9
M,51.17,518,27,54
M,52.9,1765,27,58
M,58.0,2058,27.0,38.7
M,62.6,532.58,27,6
M,65.00,4448,27,20
M,66.07,1828,27,45
M,66.16,1763.68,27,40
M,78.01,2194,27,45
M,86.36,2235,27,48
M,72.0,2941,27.4,41.7
M,60.6,603,27.4,19.0
M,74.0,1028,28,57
M,20.09,500,27.8,29.8
Y,114.9,306,28,80
AB,7.55,662,28,32
M,56.32,1086,28,30
M,69.49,620,28,45
M,76.66,564,29,34
AB,3.46,157,29,59
AB,7.27,2707,29,21
AB,8.31,2081,29,53
M,66.3,2323,29,34
M,81.56,669,29,46
Y,193,824,29.1,85.3
AB,7.93,1751,30,48
AB,9.40,2687,30,76
M,40.29,7452,30,54
M,49.2,781,30,53
M,57.84,1134,30,51
M,71.67,2123,30,38
M,65.9,770,30.2,17.9
M,65.40,1637,30.6,50.1
M,92.51,2333,31,20
M,74,3049,30.7,42.6
M,48.31,1625,31,13
M,70.21,1065.24,31,-85
AB,2.92,107,31,36
M,51.94,737,31.1,39.1
M,60.5,1023,31.3,53.0
M,73.27,595,32,43
M,65.50,1256,32,31
